NUMBER,ENGLISH,(other gloss lgs),SegmentedForm,Variants,Comment,Source (key),CONCEPTICON_ID,CONCEPTICON_GLOSS,,
398,SIT DOWN,n̪ẽl̪aɨd̺ján̪ã,n̪ ẽ + l̪ a ɨ d̺ j á + n̪ ã,,INTR-sit.down-NMLR',ura_2002_lex_sit down,1649,SIT DOWN,,SENTARSE
399,MEET,n̪ẽkud̪úd̺jan̪ã,n̪ ẽ + k u d̪ ú d̺ j a + n̪ ã,,INTR-meet-NMLR' ;Olawsky (2006) registers the root kududja 'heap up',ura_2002_lex_meet,1831,MEET,,ENCONTRARSE
400,EAGLE,ɨɨhíd̺i,ɨ ɨ h í d̺ i,,,ura_2002_lex_eagle,1905,EAGLE,,ÁGUILA
401,SNEEZE,has̪aiɲãã́,h a s̪ a i + ɲ ã ã́,,sneeze-NMLR',ura_2002_lex_sneeze,1621,SNEEZE,,ESTORNUDO
402,BLOW (WITH MOUTH),hjeit̪un̪ã́,h j e i t̪ u + n̪ ã́ ,,blow-NMLR',ura_2002_lex_blow (with mouth),176,BLOW (WITH MOUTH),,SOPLAR (CON LA BOCA)
403,LEOPARD,han̪ũl̪ad̺í,,,,ura_2002_lex_leopard,1139,LEOPARD,,LEOPARDO
404,FAT (OBESE),t̪abɨᶭat̪í,t̪ a b ɨᶭ a + t̪ í,,be.fat-INTENS:NMLR',ura_2002_lex_fat (obese),1279,FAT (OBESE),,GORDO
405,EMPTY,kun̪ẽd̺a kuul̪ʷan̪ẽ́,k u n̪ ẽ d̺ a + k u u l̪ʷ a n̪ ẽ́,kun̪ẽd̺a kuul̪an̪ẽ́,,ura_2002_lex_empty,1624,EMPTY,,VACÍO
406,VEGETABLES,,,,,,924,VEGETABLES,,VERDURAS
407,MARKET,,,,,,633,MARKET,,MERCADO
408,KING,,,,,,1508,KING,,REY
409,GO DOWN (DESCEND),faɨn̪ãã́,f a ɨ + n̪ ã ã́,,go.down-NMLR',ura_2002_lex_go down (descend),2014,GO DOWN (DESCEND),,BAJAR
410,WIPE,kad̺ɨd̺ɨn̪ã́,k a d̺ ɨ d̺ ɨ + n ã́ ,,wipe-NMLR',ura_2002_lex_wipe,1454,WIPE,,TRAPAR
411,CLAW,n̪ĩs̪iʧuʷé,n̪ ĩ s̪ i ʧ uʷ é,,,ura_2002_lex_claw,72,CLAW,,GARRA
412,WEAK,n̪ãʰkan̪ãʰkaehíd̺i,n̪ ãʰ k a n̪ ãʰ k a e h í d̺ i,,,ura_2002_lex_weak,1601,WEAK,,DÉBIL
413,SALIVA,l̪ɨɨn̪ẽ́,l̪ ɨ ɨ n̪ ẽ́,,,ura_2002_lex_saliva,1503,SALIVA,,SALIVA
414,BLIND,mãũs̪á,m ã ũ s̪ á,,,ura_2002_lex_blind,1653,BLIND,,CIEGO
415,OLD (AGED),biɲãã́,b i ɲ ã ã́,,,ura_2002_lex_old (aged),2112,OLD (AGED),,VIEJO
416,DEAF,ɨd̺iʧus̪aé,ɨ d̺ i ʧ u s̪ a é,,,ura_2002_lex_deaf,996,DEAF,,SORDO
417,GATHER,t̪auhjan̪ã́,t̪ a u h j a + n̪ ã́ ,,gather.NMLR',ura_2002_lex_gather,7,GATHER,,RECOLECTAR
418,BANANA,fan̪ãd̺á,f a n̪ ã d̺ á,,,ura_2002_lex_banana,868,BANANA,,BANANA
419,COMB,s̪ihiɲã́,s̪ i h i ɲ ã́,,,ura_2002_lex_comb,1475,COMB,,PEINE
420,BOAT,bad̺úʰku,b a d̺ úʰ k u,,From Spanish barco,ura_2002_lex_boat,1844,BOAT,,BOTE
421,CROOKED,ɹaʰkʷaɹaʰkʷáhai,ɹ aʰ kʷ a ɹ aʰ kʷ á h a i,,,ura_2002_lex_crooked,297,CROOKED,,TORCIDO
422,STRONG,mĩhj̃ãẽn̪ẽ́ʰt̪i,m ĩ h j̃ ã ẽ n̪ ẽ́ʰ t̪ i,,,ura_2002_lex_strong,785,STRONG,,FUERTE
423,LIZARD,ʤaʰkad̺í,ʤ aʰ k a d̺ í,,,ura_2002_lex_lizard,632,LIZARD,,LAGARTO
424,COAL,aaúhʷe,a a ú hʷ e,,,ura_2002_lex_coal,2658,COAL,,CARBÓN
425,RAW,n̪ẽd̪an̪ṹ,n̪ ẽ d̪ a n̪ ṹ,,,ura_2002_lex_raw,1959,RAW,,CRUDO
426,BEAUTIFUL,kawát̪i,k a w á + t̪ i,,be.beautiful-INTENS:NMLR',ura_2002_lex_beautiful,1427,BEAUTIFUL,,HERMOSO
428,EYEBROW,n̪ũʰt̪aɨhᶭí,n̪ ũʰ t̪ a + ɨ hᶭ í,,eye-hair',ura_2002_lex_eyebrow,1173,EYEBROW,,CEJA
429,HELP,kud̺atḁhãn̪ẽn̪ã́,k u d̺ a t ḁ + h ã + n̪ ẽ + n̪ ã́,,two-DER-be-NMLR',ura_2002_lex_help,1897,HELP,,AYUDAR
430,SPOON,kuʃad̺á,k u ʃ a d̺ á,,From Spanish cuchara,ura_2002_lex_spoon,1378,SPOON,,CUCHARA
431,KIDNEY,ɾiɲũẽ́,ɾ i ɲ ũ ẽ́,,,ura_2002_lex_kidney,489,KIDNEY,,RIÑÓN
432,EXPENSIVE,kud̺ét̪i,k u d̺ é t̪ i,,,ura_2002_lex_expensive,1426,EXPENSIVE,,CARO
433,CHEAP,fʷaɨᶭéki,fʷ a ɨᶭ é k i,,,ura_2002_lex_cheap,1887,CHEAP,,BARATO
434,TOE,t̪ihja kuɨt̪ɨ́d̺i,t̪ i h j a + k u ɨ t̪ ɨ́ d̺ i,,foot' + 'head',ura_2002_lex_toe,1389,TOE,,DEDO DEL PIE
435,OLD (USED),biiɲãã́,b i i ɲ ã ã́ ,,,ura_2002_lex_old (used),2113,OLD (USED),,Viejo (usado)
436,OUTSIDE,aid̺en̪ẽ́,a i d̺ e n̪ ẽ́,,,ura_2002_lex_outside,762,OUTSIDE,,AFUERA
437,AGAIN,n̪ẽkuaɨn̪ẽẽ́ĩ,n̪ ẽ k u a ɨ n̪ ẽ ẽ́ ĩ,,,ura_2002_lex_again,204,AGAIN,,DE NUEVO
438,VEIN,kuɨʰkɨd̺es̪í,k u ɨʰ k ɨ d̺ e s̪ í,,,ura_2002_lex_vein,1924,VEIN,,VENA
439,FLOUR,,,,,,1594,FLOUR,,HARINA
440,PILLOW,biɲããṹ,b i ɲ ã ã ṹ,,,ura_2002_lex_pillow,1044,PILLOW,,ALMOHADA
441,ONION,s̪ebud̺já,s̪ e b u d̺ j á,,From Spanish cebolla,ura_2002_lex_onion,2366,ONION,,CEBOLLA
442,WAR,s̪un̪ãã́n̪ã,s̪ u + n̪ ã ã́ + n̪ ã,,kill-NMLR-NMLR',ura_2002_lex_war,935,WAR,,GUERRA
443,UNTIE,baʰt̪ɨn̪ãã́,b aʰ t̪ ɨ + n̪ ã ã́ ,,untie-NMLR',ura_2002_lex_untie,352,UNTIE,,DESATAR
444,TEACH,d̺el̪an̪ãã́,d̺ e l̪ a + n̪ ã ã́ ,,teach-NMLR',ura_2002_lex_teach,709,TEACH,,ENSEÑAR
445,DOCTOR,kaʧa kuíʧaʲd̺a,k a ʧ a + k u í ʧ aʲ + d̺a ,,person' + 'heal-NMLR',ura_2002_lex_doctor,597,PHYSICIAN,,DOCTOR
446,BURN (SOMETHING),mũkun̪ãã́,m ũ k u n̪ ã ã́,,burn-NMLR',ura_2002_lex_burn (something),141,BURN (SOMETHING),,Quemar (algo)
447,TELL,ajt̪un̪ã́,a j t̪ u + n̪ ã́,,tell-NMLR',ura_2002_lex_tell,1711,TELL,,DECIR
448,FLOAT,mũd̪ud̺ʷan̪ã́,m ũ d̪ u d̺ʷ a + n̪ ã́,,float-NMLR',ura_2002_lex_float,1574,FLOAT,,FLOTAR
449,HILL,aʰt̪an̪ẽ ɨkɨɨ́n̪ũ,aʰ t̪ a n̪ ẽ + ɨ k ɨ ɨ́ n̪ ũ,,,ura_2002_lex_hill,614,HILL,,COLINA
450,BOARD,t̪abád̺a,t̪ a b á d̺ a,,From Spanish tabla,ura_2002_lex_board,1227,BOARD,,TABLERO
451,SHY ,kas̪it̪ud̺iaá,k a s̪ i t̪ u d̺ i a á,,,ura_2002_lex_shy,3805,SHY OR ASHAMED,,TÍMIDO
452,MIDDAY,en̪ũt̪u d̺ihɨ́t̪aaĩn̪,e n̪ ũ t̪ u + d̺ i h ɨ́ t̪ a a ĩ n̪,,,ura_2002_lex_midday,12,MIDDAY,,MEDIODÍA
453,BEAR,amãn̪ãã́,a m ã + n̪ ã ã́,,take.along-NMLR',ura_2002_lex_bear,1820,BEAR,,LLEVAR
454,RIPE,kaʰt̪á,k aʰ t̪ á,,,ura_2002_lex_ripe,178,RIPE,,MADURO
455,PUT,t̪en̪ãã́,t̪ e + n̪ ã ã́ ,,put-NMLR',ura_2002_lex_put,998,PUT,,PONER
456,BROOM,l̪uhʷĩ́d̺a,l u hʷ ĩ́ + e d̺ a ,,sweep-NMLR',ura_2002_lex_broom,245,BROOM,,ESCOBA
457,EARRING,s̪ad̺is̪iʧú,s̪ a d̺ i s̪ i ʧ ú,,,ura_2002_lex_earring,770,EARRING,,ARETE
458,GOD,kan̪ã kuaɨn̪ẽ́d̺a,k a n̪ ã + k u a ɨ n̪ ẽ́ + d̺ a ,,our' + 'create-NMLR',ura_2002_lex_god,1944,GOD,,DIOS
459,BRIGHT,hikiʲáki,h i k iʲ á k i,,,ura_2002_lex_bright,679,BRIGHT,,BRILLANTE
460,LISTEN,aun̪ãn̪ã́,a u n̪ ã + n̪ ã́,,listen-NMLR',ura_2002_lex_listen,1608,LISTEN,,ESCUCHAR
461,FIFTY,s̪auki ʧṹũka,s̪ a u k i + ʧ ṹ ũ k a,,five' + 'ten'; ʧũũka comes from Quechua chunka 'ten' ,ura_2002_lex_fifty,1717,FIFTY,,CINCUENTA
462,WAKE UP,n̪ũʰkuʷá,n̪ ũʰ k uʷ + á,,wake.up-NMLR',ura_2002_lex_wake up,1602,WAKE UP,,DESPERTAR
463,TOUCH,d̪ad̪an̪ãã́,d̪ a d̪ a + n̪ ã ã́,,touch-NMLR',ura_2002_lex_touch,1892,TOUCH,,TOCAR
464,LIGHT (WEIGHT),ed̺uhʷẽẽĩ́,e d̺ u hʷ ẽ ẽ + ĩ́ ,,be.light-NMLR',ura_2002_lex_light (weight),1052,LIGHT (WEIGHT),,LIGERO
465,HAPPY,d̪aʤuẽẽĩ́,d̪ a ʤ u ẽ ẽ + ĩ́,,be.happy-NMLR',ura_2002_lex_happy,1495,HAPPY,,FELIZ
466,CENTIPEDE,l̪ababá,l̪ a b a b á,,,ura_2002_lex_centipede,1974,CENTIPEDE,,CIEMPIÉS
467,SHUT,fɨn̪ãã́,f ɨ + n̪ ã ã́ ,,shut-NMLR',ura_2002_lex_shut,1046,SHUT,,CERRAR
468,KNEEL,n̪ẽs̪eud̺ʲán̪ã,n̪ ẽ + s̪ e u d̺ʲ á + n̪ ã,,INTR-?-NMLR',ura_2002_lex_kneel,66,KNEEL,,ARRODILLARSE
469,CLOTH,kahjún̪ẽ,k a h j ú n̪ ẽ,,,ura_2002_lex_cloth,1616,CLOTH,,PAÑO
470,WASH (ONESELF),n̪ẽʰkauhʷán̪ã,n̪ ẽʰ + k a u hʷ á + n̪ ã,,INTR-wash-NMLR',ura_2002_lex_wash (oneself),3371,WASH (ONESELF),,Lavar (uno mismo)
471,DIVIDE,l̪ed̺un̪ãã́,l̪ e d̺ u + n̪ ã ã́ ,,divide-NMLR',ura_2002_lex_divide,1119,DIVIDE,,DIVIDIR
472,SILVER,kuɹíʰki,k u ɹ íʰ k i ,,From Quechua qullqui,ura_2002_lex_silver,759,SILVER,,PLATA
473,LIFE,iʧaun̪ã́,i ʧ a u + n̪ ã́,,live-NMLR',ura_2002_lex_life,210,LIFE,,VIDA
474,BUTTOCKS,haiʤɨᶭan̪ẽ́ mẽd̺i,h a i ʤ ɨᶭ a n̪ ẽ́ + m ẽ d̺ i,,?+face',ura_2002_lex_buttocks,834,BUTTOCKS,,NALGAS
475,REST,n̪ẽbeʰt̪akán̪ãã,n̪ ẽ + b eʰ t̪ a k á + n̪ ã ã,,INTR-relax-NMLR',ura_2002_lex_rest,168,REST,,DESCANSAR
476,TENDON,,,,,,1137,TENDON,,TENDÓN
477,BRIDGE,hed̺ahaun̪ããn̪ãhã́,h e d̺ a h a u + n̪ ã ã + n̪ ã h ã́ ,,cross-NMLR-NMLR.LOC',ura_2002_lex_bridge,1011,BRIDGE,,PUENTE
478,RAINING OR RAIN,el̪ú,e l̪ ú,,,ura_2002_lex_raining or rain,2108,RAINING OR RAIN,,Lloviendo o lluvia
479,LADDER,in̪ĩjãn̪ã́ha,i n̪ ĩ j ã + n̪ ã́ h a,,go.up-NMLR',ura_2002_lex_ladder,1464,LADDER,,ESCALERA
480,BASKET,umãd̺í,u m ã d̺ í,,,ura_2002_lex_basket,1539,BASKET,,CESTA
481,KNOW,kuit̪ɨʰkɨn̪ãã́,k u i t̪ ɨʰ k ɨ + n̪ ã ã́,,know-NMLR',ura_2002_lex_know,3626,KNOW,,SABER
482,UNDRESS,kahjun̪ẽ d̺ukún̪ã,k a h j u n̪ ẽ + d̺ u k ú + n̪ ã,,clothes' + 'pull.out-NMLR',ura_2002_lex_undress,1755,UNDRESS,,SACARSE LA ROPA
483,GUEST,kut̪iʲan̪ũhũĩ́,k u t̪ iʲ a + n̪ ũ h ũ + ĩ́,,call-NMLR-NMLR',ura_2002_lex_guest,1782,GUEST,,INVITADO
484,FOOD,l̪en̪ũn̪ẽ́,l̪ e n̪ ũ n̪ ẽ́,,,ura_2002_lex_food,256,FOOD,,ALIMENTO
485,POUND,,,,,,354,POUND,,LIBRA
486,ROOF,d̺ai n̪ãl̪ú,d̺ a i + n̪ + ã l̪ ú,,POS' + '3-leaf'; roofs are made from leaves ,ura_2002_lex_roof,769,ROOF,,TECHO
487,SHIT (DEFECATE),,,,,,676,SHIT (DEFECATE),,DEFECAR
488,NAPE (OF NECK),n̪ɨ̃l̪ɨn̪ṹ,n̪ ɨ̃ l̪ ɨ n̪ ṹ,,,ura_2002_lex_nape (of neck),1347,NAPE (OF NECK),,NUCA)
489,SHOW,kuad̺at̪en̪ãã́,k u a d̺ a t̪ e + n̪ ã ã́,, 'show-NMLR',ura_2002_lex_show,1039,SHOW,,ESPECTÁCULO
490,KICK,fat̪ian̪ãã́,f a t̪ i a + n̪ ã ã́,,kick-NMLR',ura_2002_lex_kick,1135,KICK,,PATEAR
491,POUR,beʰt̪ɨn̪ãã́,b eʰ t̪ ɨ + n̪ ã ã́,,pour-NMLR',ura_2002_lex_pour,1487,POUR,,VERTER
492,NO,aiʲei,a iʲ e i,,,ura_2002_lex_no,1269,NO,,NO
493,STRENGTH,n̪ẽn̪ɨ̃hɨᶭí,n̪ ẽ n̪ ɨ̃ h ɨᶭ í,,,ura_2002_lex_strenght,202,STRENGTH,,FORTALEZA
494,CUT (WITH AXE),s̪aɨn̪ãã́,s̪ a ɨ + n̪ ã ã́,,cut-NMLR',ura_2002_lex_cut (with axe),3151,CUT (WITH AXE),,Cortar (con hacha)
495,STAND UP,n̪ĩʤaɨd̺án̪ã,n̪ ĩ ʤ a ɨ d̺ á + n̪ ã,,stand.up-NMLR',ura_2002_lex_stand up,570,STAND UP,,PONERSE DE PIE
496,HAT,as̪iʲú,a s̪ iʲ ú,,,ura_2002_lex_hat,771,HAT,,SOMBRERO
497,FINISH,s̪at̪un̪ũt̪en̪ã́,s̪ a t̪ u n̪ ũ t̪ e + n̪ ã́,,finish-NMLR',ura_2002_lex_finish,1766,FINISH,,FINALIZAR
498,GHOST,kas̪iʧáʲ,k a s̪ i ʧ áʲ,,,ura_2002_lex_ghost,1175,GHOST,,FANTASMA
499,GOURD,fukú,f u k ú ,,,ura_2002_lex_gourd,411,GOURD,,CALABAZA
500,EVENING,han̪ũt̪ĩĩ,h a n̪ ũ + t̪ ĩ ĩ,,be.dark-INTENS-NMLR',ura_2002_lex_evening,1629,EVENING,,NOCHE
501,OIL (ORGANIC SUBSTANCE),ed̺en̪ẽ́,e d̺ e n̪ ẽ́,,,ura_2002_lex_oil (organic substance),1484,OIL (ORGANIC SUBSTANCE),,Aceite (sustancia orgánica)
502,MUSHROOM,umãd̺ú,u m ã d̺ ú,,,ura_2002_lex_mushroom,641,MUSHROOM,,CHAMPIÑÓN
503,LOW,eʰkué,eʰ k u é,,,ura_2002_lex_low,721,LOW,,BAJO
504,POT,darue,d a r u e,,,,1462,POT,,MACETA
505,FEW,kud̺at̪aháhai,k u d̺ a t̪ a h á h a i,,,ura_2002_lex_few,1242,FEW,,POCOS
506,PEPPER,l̪en̪ũn̪ẽ has̪ís̪i,l̪ e n̪ ũ n̪ ẽ + h a s̪ í s̪ i,,food' + 'mix',ura_2002_lex_pepper,1385,PEPPER,,PIMIENTA
507,KISS,l̪uit̪un̪ã́,l̪ u i t̪ u + n̪ ã́,,kiss-NMLR',ura_2002_lex_kiss,578,KISS,,BESAR
508,SORGHUM,,,,,,347,SORGHUM,,SORGO
509,SWEET POTATO,aʰkií,aʰ k i í,,,ura_2002_lex_sweet potato,159,SWEET POTATO,,CAMOTE
510,VOICE,ed̺é,e d̺ é,,,ura_2002_lex_voice,1363,VOICE,,VOZ
511,CHILI PEPPER,en̪ɨ̃hᶭekɨn̪ãĩ́,e n̪ ɨ̃ hᶭ e + k ɨ n̪ ã + ĩ́,,chili' + 'hurt-NMLR' ,ura_2002_lex_chili pepper,919,CHILI PEPPER,,AJÍ PICANTE
512,DEEP,as̪ããɨ̃́,a s̪ ã ã ɨ̃́,,,ura_2002_lex_deep,1593,DEEP,,PROFUNDO
513,HIDE (CONCEAL),as̪iɲãã́,a s̪ i + ɲ ã ã́,,hide-NMLR',ura_2002_lex_hide (conceal),602,HIDE (CONCEAL),,Esconder (ocultar)
514,COOKED RICE,ad̺us̪ú en̪ũãl̪an̪ũũĩ,a d̺ u s̪ ú + e n̪ ũ ã l̪ a + n̪ ũ ũ ĩ,,rice' + 'cook-NMLR',ura_2002_lex_cooked rice,1191,COOKED RICE,,ARROZ COCIDO
515,GIVE BIRTH,kan̪ããn̪ãĩ han̪ũʷã́n̪ã,k a n̪ ã ã n̪ ã ĩ + h a n̪ ũʷ ã́ + n̪ ã,,child' + 'give.birth-NMLR',ura_2002_lex_give birth,1195,GIVE BIRTH,,DAR A LUZ
516,GRAVE,aʰt̪an̪ẽbán̪ã,aʰ t̪ a n̪ ẽ + b á n̪ ã,,land' + 'time'; también significa cementerio,ura_2002_lex_grave,1773,GRAVE,,TUMBA
517,WASP,en̪ããɨ̃d̺ɨ́,e n̪ ã ã ɨ̃ d̺ ɨ́,,,ura_2002_lex_wasp,1517,WASP,,AVISPA
518,CATCH,mɨ̃kɨn̪ãã,m ɨ̃ k ɨ + n̪ ã ã,,catch-NMLR',ura_2002_lex_catch,702,CATCH,,CAPTURAR
519,DEER,id̺ií,i d̺ i í ,,,ura_2002_lex_deer,1936,DEER,,CIERVO
520,PRESS,s̪ɨd̺ɨd̺ɨn̪ã́,s̪ ɨ d̺ ɨ d̺ ɨ + n̪ ã́,,press-NMLR',ura_2002_lex_press,1913,PRESS,,PRESIONAR
521,SHARPEN (SOMETHING),ahjan̪ãã́,a h j a + n̪ ã ã́ ,,sharp-NMLR',ura_2002_lex_sharpen (something),251,SHARPEN (SOMETHING),,Afilar (algo)
522,FARM,ɨkɨᶭá,ɨ k ɨᶭ á,,,ura_2002_lex_farm,201,FARM,,GRANJA
523,GRASSHOPPER,s̪is̪ĩĩ́ʧu,s̪ i s̪ ĩ ĩ́ ʧ u,,,ura_2002_lex_load,607,GRASSHOPPER,,SALTAMONTES
524,LOAD,baihʲan̪ã́,b a i hʲ a + n̪ ã́,,load-NMLR',ura_2002_lex_mouse,1679,LOAD,,CARGAR
525,MOUSE,s̪á,s̪ á,,,ura_2002_lex_make,1491,MOUSE,,RATÓN
526,MAKE,han̪ãã́,h a + n̪ ã ã́,,make-NMLR',ura_2002_lex_ground,734,MAKE,,HACER
527,GROUND,aʰt̪án̪ẽ,aʰ t̪ á n̪ ẽ,,,ura_2002_lex_weak,2159,GROUND,,TIERRA
528,FILL,mẽmũãn̪ã́,m ẽ m ũ ã + n̪ ã́,,fill-NMLR',ura_2002_lex_fill,2006,FILL,,LLENAR
529,LANGUAGE,ed̺en̪ãã́,e d̺ e + n̪ ã ã́,,talk-NMLR',ura_2002_lex_language,1307,LANGUAGE,,IDIOMA
530,WINDOW,aʰkɨ ɨhɨᶭa háʤɨ,aʰ k ɨ + ɨ h ɨᶭ a + h á ʤ ɨ ,,?+?+hole',ura_2002_lex_window,1375,WINDOW,,VENTANA
531,HALT (STOP),ʤɨhɨd̺an̪ã́,ʤ ɨ h ɨ d̺ a + n̪ ã́,,stop-NMLR',ura_2002_lex_halt (stop),2880,HALT (STOP),,PARAR
532,TEAR (OF EYE),n̪ũʰt̪a baʰká,n̪ ũʰ t̪ a + b aʰ k á,,eye' + 'ASC-water',ura_2002_lex_tear (of eye),1651,TEAR (OF EYE),,Lágrima (de ojo)
533,PARROT,an̪ũd̺í,a n̪ ũ d̺ í,,,ura_2002_lex_parrot,882,PARROT,,LORO
534,LEAD (GUIDE),ben̪ãã́,b e + n̪ ã ã́,,lead-NMLR',ura_2002_lex_lead (guide),43,LEAD (GUIDE),,GUIAR
535,TRUE,es̪in̪ããẽ́,e s̪ i n̪ ã ã ẽ́,,,ura_2002_lex_verdadero,1657,TRUE,,VERDADERO
536,GARDEN,ahen̪ã t̪emɨ̃l̪é,a h e n̪ ã + t̪ e m ɨ̃ l̪ é,,leaf' + 'plant',ura_2002_lex_garden,586,GARDEN,,JARDÍN
537,WRITE,l̪aen̪ãn̪ã́,l̪ a e n̪ ã + n̪ ã́,,write-NMLR',ura_2002_lex_write,1672,WRITE,,ESCRIBIR
538,CHIEFTAIN,kukʷaɲã́n̪ãʰkai,k u kʷ a ɲ ã́ n̪ ãʰ k a i,,,ura_2002_lex_chieftain,301,CHIEFTAIN,,JEFE / APU
539,FLEA,,,,,,232,FLEA,,PULGA
540,REMAIN,kɨn̪ẽn̪ãã́,k ɨ n̪ ẽ + n̪ ã ã́,,remain-NMLR',ura_2002_lex_remain,987,REMAIN,,PERMANECER
541,FRY,t̪ɨkɨᶭɨn̪ã,t̪ ɨ k ɨᶭ ɨ + n̪ ã,,fry-NMLR',ura_2002_lex_fry,991,FRY,,FREÍR
542,CARRY,amãn̪ãã́,a m ã + n̪ ã ã́,,carry-NMLR',ura_2002_lex_carry,700,CARRY,,LLEVAR
543,BAG,bud̺ús̪a,b u d̺ ú s̪ a,,From Spanish bolsa,ura_2002_lex_bag,2468,BAG,,BOLSA
544,SQUIRREL,n̪ãl̪ɨᶭé,n̪ ã l̪ ɨᶭ é,,,ura_2002_lex_squirrel,1628,SQUIRREL,,ARDILLA
545,LION,han̪ũl̪ad̺í l̪an̪ãhí,h a n̪ ũ l̪ a d̺ í + l̪ a n̪ ã h í,,jaguar' + 'red',ura_2002_lex_lion,1386,LION,,LEÓN
546,TIGER,han̪ũl̪ad̺í,h a n̪ ũ l̪ a d̺ í,,"This is the term for 'jaguar', there is no tiger in the Amazon, but the word tigre in Amazonian Spanish is used for 'jaguar'",ura_2002_lex_jaguar,846,TIGER,,TIGRE
547,BEHIND,han̪ũd̺iʰke,h a n̪ ũ d̺ iʰ k e,,,ura_2002_lex_behind,1686,BEHIND,,DETRÁS
548,PLACE (POSITION),n̪ẽẽn̪ãhã́,n̪ ẽ ẽ n̪ ã h ã́,,,ura_2002_lex_place (position),723,PLACE (POSITION),,Lugar (posición)
549,HEALTHY,ɹaud̺ɨn̪ã́,ɹ a u d̺ ɨ n̪ ã́,,,ura_2002_lex_healthy,1364,HEALTHY,,SALUDABLE
550,SONG,n̪ẽn̪ãt̪én̪ã,n̪ ẽ n̪ ã t̪ é + n̪ ã,,sing-NMLR',ura_2002_lex_song,1096,SONG,,CANCIÓN
551,SOUL,s̪ɨɨhᶭí,s̪ ɨ ɨ hᶭ í,,,ura_2002_lex_soul,811,SOUL,,ALMA
552,SWORD,,,,,,1535,SWORD,,ESPADA
553,DRY UP,hakud̺un̪ṹ,h a k u d̺ u n̪ ṹ,,,ura_2002_lex_dry up,1786,DRY UP,,SECARSE
555,POSSUM,ad̺ul̪ád̺i,a d̺ u l̪ á d̺ i,,,ura_2002_lex_possum,470,POSSUM,,ZARIGÜEYA
556,TERMITE,d̺iʰt̪ué,d̺ iʰ t̪ u é,,,ura_2002_lex_termite,883,TERMITE,,TERMITA
557,SNORE,ad̺ad̺an̪ã́,a d̺ a d̺ a + n̪ ã́,,snore-NMLR',ura_2002_lex_snore,1983,SNORE,,RONCAR
558,BOIL (OF LIQUID),bad̺ɨᶭa,b a d̺ ɨᶭ + a,,boil-NMLR',ura_2002_lex_boil (of liquid),792,BOIL (OF LIQUID),,HERVIR
559,CATTLE,baʰka,b aʰ k a,,From Spanish vaca 'cow',ura_2002_lex_cattle,1153,CATTLE,,GANADO
560,RING,an̪ĩʧú,a n̪ ĩ ʧ ú,,From Spanish anillo,ura_2002_lex_ring,1374,RING,,ANILLO
561,PERSPIRE OR SWEAT,d̪ud̺an̪ã́n̪ã,d̪ u d̺ a n̪ ã́ + n̪ ã,,sweat-NMLR',ura_2002_lex_perspire or sweat,2458,PERSPIRE OR SWEAT,,SUDAR
562,GO OUT,mĩʰt̪ɨn̪ãã́,m ĩʰ t̪ ɨ + n̪ ã ã́ ,,go.out-NMLR',ura_2002_lex_go out,1107,GO OUT,,SALIR
563,SEIZE,ɹɨl̪ɨn̪ãã́ ,ɹ ɨ l̪ ɨ + n̪ ã ã́  ,,seize-NMLR',ura_2002_lex_seize,855,SEIZE,,APROVECHAR
564,ANIMAL,t̪aibin̪ããẽ́,t̪ a i b i n̪ ã ã ẽ́,,,ura_2002_lex_animal,619,ANIMAL,,ANIMAL
565,UGLY,ʃaúhi,ʃ a ú h i,,,ura_2002_lex_ugly,1548,UGLY,,FEO
566,LEAVE,ɹat̪id̺in̪ãã́,ɹ a t̪ i d̺ i + n̪ ã ã́ ,,leave-NMLR',ura_2002_lex_leave,1752,LEAVE,,DEJAR
567,ANSWER,t̪un̪ũd̺an̪ã́,t̪ u n̪ ũ d̺ a + n̪ ã́,,answer-NMLR',ura_2002_lex_answer,1275,ANSWER,,RESPUESTA
568,MONTH,baʰt̪en̪ẽ́,b + aʰ t̪ e n̪ ẽ́,,ASC-moon',ura_2002_lex_month,1370,MONTH,,MES
569,CHAIR,n̪ẽl̪aɨd̺ian̪ã́n̪ãha,n̪ ẽ l̪ a ɨ d̺ i a n̪ ã́ + n̪ ã h a,,INTRAN-sit-NMLR.LOC',ura_2002_lex_chair,1476,CHAIR,,SILLA
570,STRIKE,fʷauit̪un̪ã́,fʷ a u i t̪ u + n̪ ã́,,strike-NMLR',ura_2002_lex_strike,353,STRIKE,,GOLPEAR
571,SHOUT,aɨᶭaún̪ã,a ɨᶭ a ú + n̪ ã,,shout-NMLR',ura_2002_lex_shout,715,SHOUT,,GRITAR
572,WELL,kawát̪ĩĩ,k a w á + t̪ ĩ + ĩ,,be.good-INTENS-NMLR',ura_2002_lex_well,954,WELL,,BIEN
573,VERY,hat̪aaĩ,h a t̪ a a ĩ,,,ura_2002_lex_very,1311,VERY,,MUY
574,THATCH OR ROOF,kũũd̺i,k ũ ũ d̺ i,,,ura_2002_lex_thatch or roof,2100,THATCH OR ROOF,,TECHO
575,SHIRT,kubid̺í,k u b i d̺ í,,,ura_2002_lex_shirt,1622,SHIRT,,CAMISA
