Doculect,Concept,Segments
bora1263,CHILD (YOUNG HUMAN),"['tsʰ', 'ɨ', 'ɨ', 'm', 'e', 'n', 'e']"
bora1263,CUT,"['kʷ', 'a', 'ʔ', 't', 'a', 'ʔ', 'ɨ', 'n', 'ɯ']"
bora1263,CUT,"['t', 'o', 'i', 'ʔ', 'j', 'a', 'nʲ', 'ɯ']"
bora1263,CUT,"['t', 'o', 'ʔ', 't', 'a', 'ʔ', 'ɨ', 'n', 'ɯ']"
bora1263,CUT,"['t', 'o', 'β', 'i', 'ɯ', 'x', 'kʰ', 'ɯ']"
bora1263,CUT,"['kʰ', 'ɨ', 'ʔ', 'tʲ', 'a', 'ʔ', 'ɨ', 'n', 'ɯ']"
bora1263,CUT,"['kʰ', 'i', 'β', 'i', 'ɯ', 'x', 'kʰ', 'ɯ']"
bora1263,CUT,"['tʰ', 'a', 'β', 'i', 'ɯ', 'x', 'kʰ', 'ɯ']"
bora1263,WIDE,"['kʰ', 'o', 'r', 'ɨ', 'ɨ', 'n', 'e']"
bora1263,WIDE,"['m', 'i', 'tʰ', 'j', 'a', 'n', 'e']"
bora1263,NEAR,"['pʰ', 'ɨ', 'ɨ', 'ʔ', 'ɨ', 'r', 'e']"
bora1263,NEAR,"['i', 'nʲ', 'i', 'i', 'nʲ', 'e']"
bora1263,NARROW,"['ɨ', 'ɨ', 'x', 'ɨ', '+', 'n', 'e', 'kʷ', 'ɯ']"
bora1263,NARROW,"['ɯ', 'x', 'tsʰ', 'i', 'nʲ', 'e']"
bora1263,NARROW,"['a', 'j', 'a', 'n', 'e']"
bora1263,NARROW,"['pʰ', 'a', 'j', 'o', 'x', 'kʰ', 'e']"
bora1263,FAR,"['tsʰ', 'i', 'ʔ', 'j', 'ɯ', 'tʃ', 'e']"
bora1263,FAR,"['kʰ', 'e', 'm', 'ɯ', 'e', 'tʃ', 'e']"
bora1263,THICK,"['pʰ', 'ɨ', 'ɨ', 'm', 'ɨ']"
bora1263,THIN,"['a', 'n', 'i']"
bora1263,THIN,"['ɯ', 'x', 'tsʰ', 'i']"
bora1263,SHORT,"['p', 'a', 'ʔ', 'r', 'i', 'nʲ', 'e', 'ɯ', 'β', 'ɯ']"
bora1263,HEAVY,"['pʰ', 'a', 't', 'ɯ', 'ɯ', 'kʰ', 'ɯ', 'n', 'e']"
bora1263,BLUNT,"['tsʰ', 'ɯ', 'ʔ', 'x', 'ɨ', 'β', 'a', 'tʰ', 'ɯ', 'n', 'e']"
bora1263,SHARP,"['tsʰ', 'ɯ', 'ʔ', 'x', 'ɨ', 'β', 'a', 'n', 'e']"
bora1263,DIRTY,"['iː', 'n', 'j', 'ɯ', 'β', 'a', 'n', 'e']"
bora1263,DIRTY,"['ɯ', 't', 'i', 'i', 'kʲʰ', 'ɯ', 'ɯ']"
bora1263,DIRTY,"['n', 'e', 'ʔ', 'n', 'i']"
bora1263,ROTTEN,"['tʰ', 'o', 'o', 'kʰ', 'ɯ', 'n', 'e']"
bora1263,ROTTEN,"['r', 'a', 'a', 'r', 'a', 'a']"
bora1263,ROTTEN,"['tʃʰ', 'a', 'x', 'aː', 'β', 'e', 'n', 'e']"
bora1263,SMOOTH,"['pʰ', 'ɨ', 'r', 'ɯ', 'ɯ', 'kʰ', 'ɯ', 'n', 'e']"
bora1263,SMOOTH,"['m', 'e', 'e', 'β', 'a', 'n', 'e']"
bora1263,SMOOTH,"['r', 'ɯ', 'tʰ', 'ɯ', 'r', 'ɯ', 'tʰ', 'ɯ']"
bora1263,SMOOTH,"['tʰ', 'ɯ', 'ʔ', 'tʰ', 'ɯ', 'r', 'i', 'β', 'a', 'tʰ', 'ɯ', 'n', 'e']"
bora1263,STRAIGHT,"['tsʰ', 'a', 'tʰ', 'ɯ', 'x', 'kʰ', 'e', 'β', 'e']"
bora1263,STRAIGHT,"['ɨ', 'm', 'ɨ', 'a', 'a', 'm', 'e']"
bora1263,CORRECT (RIGHT),"['i', 'm', 'i', '+', 'tʰ', 'e', 'ʔ', 't', 'ɯ', 'x', 'ɯ', 'kʰ', 'o']"
bora1263,CORRECT (RIGHT),"['tsʰ', 'a', 'i', 'm', 'i', 'j', 'e']"
bora1263,LEFT,"['n', 'a', 'n', 'i', 'nʲ', 'e', 'x', 'kʰ', 'ɯ']"
bora1263,RIGHT,"['ɨ', 'm', 'ɨ', 'a', 'n', 'e', 'x', 'kʰ', 'ɯ']"
bora1263,PULL,"['tʃ', 'i', 'ɯ', 'kʰ', 'ɯ']"
bora1263,PULL,"['tʰ', 'a', 'tʃ', 'a', 'r', 'i', 'ʔ', 'xʲ', 'ɯ', 'kʰ', 'ɯ']"
bora1263,PUSH,"['kʰ', 'a', 'tʰ', 'ɯ', 'x', 'kʰ', 'a', 'a', 'j', 'o']"
bora1263,PUSH,"['kʰ', 'a', 'β', 'ɯ', 'i', 'ʔ', 'xʲ', 'a', 'kʰ', 'o']"
bora1263,PUSH,"['pʰ', 'i', 'β', 'o', 'r', 'o', 'ʔ', 'x', 'a', 'kʰ', 'o']"
bora1263,PUSH,"['kʷ', 'a', 'a', 'o']"
bora1263,PUSH,"['pʰ', 'i', 'kʲʰ', 'o', 'r', 'ɨ', 'ɯ', 'kʰ', 'ɯ']"
bora1263,THROW,"['pʰ', 'i', 'kʲʰ', 'o']"
bora1263,THROW,"['kʷ', 'a', 'a', 'o']"
bora1263,THROW,"['kʷ', 'aː', 'k', 'o', 'o']"
bora1263,THROW,"['i', 'x', 'tʃʰ', 'i', 'βʲ', 'e', 'tsʰ', 'o']"
bora1263,THROW,"['kʰ', 'a', 'ʔ', 'pʰ', 'i', 'nʲ', 'ɯ']"
bora1263,SPLIT,"['kʷ', 'a', 'tʃʰ', 'e', 'r', 'e', 'a', 'kʰ', 'o']"
bora1263,DIG,"['tsʰ', 'e', 'ʔ', 't', 'i']"
bora1263,DIG,"['kʰ', 'a', 'n', 'o', 'x', 'kʰ', 'o']"
bora1263,DIG,"['kʷ', 'a', 'n', 'o', 'x', 'kʰ', 'o']"
bora1263,TIE,"['tʃʰ', 'i', 'x', 'tʃʰ', 'ɯ']"
bora1263,TIE,"['t', 'o', 'ʔ', 'x', 'ɨ', 'n', 'ɯ']"
bora1263,SEW,"['ts', 'ɨ', 'x', 'kʰ', 'o']"
bora1263,FALL,"['aː', 'kʰ', 'i', 'tʲʰ', 'e']"
bora1263,SWELL,"['o', 'o', 'r', 'i']"
bora1263,SWELL,"['kʷ', 'aː', 'm', 'e', 'n', 'e']"
bora1263,SWELL,"['ɨ', 'p', 'a', 'tsʰ', 'ɯ', 'ɯ', 'β', 'e']"
bora1263,THINK,"['ɨ', 'x', 'tsʰ', 'a', 'm', 'e', 'i']"
bora1263,THINK,"['ɨ', 'x', 'tsʰ', 'ɯ', 'kʰ', 'ɯ', 'n', 'ɯ']"
bora1263,THINK,"['ɨ', 'x', 'tsʰ', 'o']"
bora1263,SING,"['m', 'a', 'x', 'tsʰ', 'i', 'β', 'a']"
bora1263,SING,"['kʷ', 'a', 'n', 'i', 'x', 'kʲʰ', 'a', 'm', 'e', 'i']"
bora1263,VOMIT,"['i', 'tʃ', 'i']"
bora1263,VOMIT,"['i', 'tʃ', 'i', 'm', 'ɯ', 'tʰ', 'ɯ', 'ʔ', 'x', 'a', 'kʰ', 'o']"
bora1263,BLOW (OF WIND),"['ɨ', 'p', 'a', 'tsʰ', 'ɯ', 'ʔ', 'x', 'a', 'kʰ', 'o']"
bora1263,BLOW (OF WIND),"['p', 'o', 'x', 'tsʰ', 'o', 'kʰ', 'ɯ']"
bora1263,BLOW (OF WIND),"['tʃ', 'i', 'x', 'tʃʰ', 'ɯ', 'kʰ', 'ɯ']"
bora1263,BLOW (OF WIND),"['β', 'o', 'β', 'o', 'x', 'kʰ', 'ɯ']"
bora1263,BLOW (OF WIND),"['i', 'o', 'x', 'kʰ', 'o']"
bora1263,BLOW (OF WIND),"['β', 'oː', 'i', 'kʲʰ', 'ɯ']"
bora1263,BLOW (OF WIND),"['a', 'a', 'pʰ', 'ɯ', 'ɯ', 'kʰ', 'ɯ']"
bora1263,BLOW (OF WIND),"['tʃʰ', 'i', 'j', 'o', 'a', 'kʰ', 'o']"
bora1263,BLOW (OF WIND),"['ɯ', 'ɯ', 'p', 'o']"
bora1263,FEAR (BE AFRAID),"['i', 'tʃ', 'i']"
bora1263,FEAR (BE AFRAID),"['i', 'tʃ', 'i', 'tʲʰ', 'e']"
bora1263,FEAR (BE AFRAID),"['n', 'ɯ', 'ʔ', 'n', 'e', 'β', 'e']"
bora1263,FEAR (BE AFRAID),"['a', 'pʰ', 'iː', 'tʃʰ', 'o', 'tʃ', 'e']"
bora1263,FEAR (BE AFRAID),"['a', 'a', 'p', 'i', 'mʲ', 'e', 'i']"
bora1263,FEAR (BE AFRAID),"['a', 'm', 'ɨ', 'tsʰ', 'a', 'r', 'a', 'ʔ', 'kʰ', 'o', 'tʃ', 'e']"
bora1263,FEAR (BE AFRAID),"['n', 'o', 'ɯ', 'ʔ', 'kʰ', 'o', 'tʃ', 'e']"
bora1263,SQUEEZE,"['a', 'a', 'm', 'ɯ']"
bora1263,SQUEEZE,"['aː', 'm', 'ɯ', 'tsʰ', 'o']"
bora1263,HOLD,"['i', 'x', 'kʲʰ', 'a', 'ʔ']"
bora1263,DUST,"['pʰ', 'a', 'tʃ', 'i', 'xʲ', 'ɯ']"
bora1263,DUST,"['tʃ', 'i', 'xʲ', 'ɯ', 'ɯ']"
bora1263,DUST,"['i', 'i', 'nʲ', 'ɯ', 'tʃ', 'i', 'xʲ', 'ɯ']"
bora1263,BE ALIVE,"['p', 'o', 'ʔ', 'ɨ', 'ɨ', 'p', 'e', 'kʰ', 'e']"
bora1263,ROPE,"['kʷ', 'a', 'a', 'pʲ', 'a', 'ɯ']"
bora1263,ROPE,"['pʰ', 'a', 't', 'o', 'ʔ', 'x', 'ɨ']"
muin1242,TONGUE,"['n', 'e', 'x', 'e', 'b', 'a']"
muin1242,MOUTH,"['i', 'i', 'x', 'ɨ']"
muin1242,TOOTH,"['i', 'i', 'g', 'a', 'i']"
muin1242,NOSE,"['t', 'ɨ', 'x', 'ɨ', 'ʔ', 'u']"
muin1242,EYE,"['a', 'a', 'dʒ', 'ɨ', 'ʔ', 'ɨ']"
muin1242,EAR,"['n', 'ɨ', 'x', 'ɨ', 'm', 'eː', 'ʔ', 'u']"
muin1242,HEAD,"['n', 'i', 'g', 'a', 'ɨ']"
muin1242,NECK,"['k', 'o', 'd', 'a', 'a', 'ʔ', 'e']"
muin1242,BELLY,"['i', 'i', 'b', 'a']"
muin1242,BACK,"['j', 'o', 'o', 'b', 'a', 'i']"
muin1242,HAND,"['u', 's', 'e']"
muin1242,LEG,"['x', 'u', 'u', 'n', 'u', 'g', 'a']"
muin1242,FOOT,"['t', 'ɨ', 'ʔ', 'a', 'i']"
muin1242,BONE,"['b', 'a', 'k', 'k', 'ɨ']"
muin1242,BLOOD,"['t', 'ɨ', 'ɨ', 'x', 'o', 'ʔ', 'o']"
muin1242,HEART,"['k', 'ɨ', 'ɨ', 'd', 'ɨ', 'ɨ']"
muin1242,HEART,"['x', 'e', 'e', 'b', 'ɨ', 'ɨ']"
muin1242,WOMAN,"['g', 'a', 'i', 'g', 'o']"
muin1242,WOMAN,"['m', 'i', 'j', 'a', 'm', 'ɨ', 'n', 'a', 'g', 'o']"
muin1242,HUSBAND,"['a', 't', 'tʲ', 'a', 'x', 'e']"
muin1242,HUSBAND,"['t', 'a', 'x', 'e']"
muin1242,HUSBAND,"['a', 'i', 'x', 'ɨ']"
muin1242,WIFE,"['t', 'a', 'a', 'b', 'a']"
muin1242,WIFE,"['a', 't', 'tʲ', 'a', 'a', 'b', 'a']"
muin1242,FATHER,"['g', 'i', 'ʔ', 'i']"
muin1242,FATHER,"['g', 'i', 'ʔ', 'i', 'r', 'u', 'b', 'i']"
muin1242,FATHER,"['k', 'a', 'a', 'n', 'i']"
muin1242,MOTHER,"['g', 'a', 'ʔ', 'a']"
muin1242,MOTHER,"['g', 'a', 'ʔ', 'a', 'r', 'u', 'b', 'i']"
muin1242,MOTHER,"['s', 'e', 'e', 'x', 'ɨ']"
muin1242,WATER,"['ɸ', 'a', 'i', 'ʔ', 'u']"
muin1242,WATER,"['n', 'ɨ', 'ɸ', 'a', 'i', 'ʔ', 'u']"
muin1242,WATER,"['n', 'ɨ', 'ɸ', 'a', 'i', 'ʔ', 'u']"
muin1242,RIVER,"['t', 'e', 'e', 'ʔ', 'i']"
muin1242,RIVER,"['m', 'u', 'u', 'a', 'i']"
muin1242,LAKE,"['k', 'a', 'a', 's', 'i']"
muin1242,LAKE,"['x', 'ɨ', 'k', 'o', 'o', 'b', 'a']"
muin1242,FIRE,"['k', 'ɨ', 'ɨ', 'x', 'i', 'g', 'a', 'i']"
muin1242,FIRE,"['k', 'u', 's', 'i', 'i', 'b', 'a', 'i']"
muin1242,ASH,"['b', 'a', 'i', 'g', 'i', 'i', 'x', 'ɨ']"
muin1242,THEY,"['d', 'i', 'i', 't', 'o']"
muin1242,THEY,"['a', 'x', 'a', 'a', 'tʲ', 'o']"
muin1242,THEY,"['d', 'i', 'i', 't', 'ɨ', 's', 'i']"
muin1242,THEY,"['d', 'i', 'i', 't', 'ɨ', 'ɸ', 'o']"
muin1242,GOOD,"['i', 'm', 'i']"
muin1242,GOOD,"['i', 'm', 'i', 'n', 'o']"
muin1242,BIG,"['g', 'i', 'r', 'a', 'a', 'n', 'o']"
muin1242,BIG,"['k', 'e', 'e', 'ɸ', 'i']"
muin1242,BIG,"['m', 'i', 'tʲ', 'a', 'n', 'o']"
muin1242,SMOKE (EXHAUST),"['a', 'i', 'm', 'u', 'u', 'ɸ', 'a', 'i']"
muin1242,SMOKE (EXHAUST),"['a', 'i', 'm', 'u', 'u', 'ɸ', 'a', 'i', 'ʔ', 'u']"
muin1242,SKY,"['n', 'i', 'k', 'e', 'x', 'e']"
muin1242,WIND,"['g', 'i', 'b', 'u', 'ʔ', 'u', 'b', 'a']"
muin1242,SUN,"['n', 'ɨ', 'ʔ', 'ɨ', 'b', 'a']"
muin1242,SUN,"['k', 'u', 'u', 'x', 'e', 'o', '+', 'n', 'ɨ', 'ʔ', 'ɨ', 'b', 'a']"
muin1242,STAR,"['m', 'e', 'e', 'k', 'ɨ', 'r', 'ɨ', 'g', 'a', 'i']"
muin1242,DAY (NOT NIGHT),"['k', 'u', 'u', 'x', 'e']"
muin1242,NIGHT,"['ɸ', 'u', 'k', 'u']"
muin1242,EARTH (SOIL),"['x', 'i', 'i', 'n', 'ɨ']"
muin1242,EARTH (SOIL),"['x', 'i', 'i', 'n', 'ɨ', 'x', 'e']"
muin1242,STONE,"['g', 'i', 'i', 's', 'i', 'b', 'a']"
muin1242,SAND,"['x', 'i', 'i', 'n', 'ɨ', 'g', 'a', 'i', 'j', 'ɨ', 'ʔ', 'a', 'i']"
muin1242,DOG,"['x', 'ɨ', 'k', 'u']"
muin1242,TAIL,"['i', 'i', 'b', 'u', 'ʔ', 'u']"
muin1242,BIRD,"['x', 'o', 'o', 'ɨ']"
muin1242,WHO,"['k', 'a', 'x', 'a', 'a', 'n', 'ɨ']"
muin1242,WHO,"['k', 'a', 'x', 'a', 'a', 'm', 'o']"
muin1242,WHO,"['m', 'ɨ', 'x', 'ɨ']"
muin1242,WHO,"['m', 'ɨ', 'ɨ', 'x', 'o', 'ʔ', 'o']"
muin1242,FISH,"['t', 'a', 'a', 'β', 'a']"
muin1242,LOUSE,"['g', 'a', 'a', 'ɲ', 'i', 'ʔ', 'u']"
muin1242,TREE,"['ɨ', 'm', 'o', 'ʔ', 'o']"
muin1242,LEAF,"['ɨ', 'm', 'o', 'ʔ', 'o', '+', 'a', 'a', 'm', 'e']"
muin1242,FLOWER,"['d', 'e', 'e', 'k', 'a']"
muin1242,RUB,"['o', 'b', 'a', 'x', 'a', 'k', 'i', 'm', 'a', 'x', 'e']"
muin1242,RUB,"['s', 'eː', 'n', 'e']"
muin1242,ROOT,"['b', 'a', 'k', 'o', 'ʔ', 'o', 'k', 'o']"
muin1242,ROOT,"['t', 'a', 'n', 'o']"
muin1242,SEED,"['b', 'a', 's', 'u', 't', 'a']"
muin1242,SEED,"['n', 'o', 'o', 'b', 'a', 'b', 'a']"
muin1242,STICK,"['ɨ', 'm', 'eː', 'ʔ', 'i']"
muin1242,STICK,"['dʒ', 'a', 'r', 'i', 'g', 'a']"
muin1242,GRASS,"['s', 'u', 'k', 'u', 'm', 'e', 'x', 'e']"
muin1242,GRASS,"['ɸ', 'a', 'i', 'x', 'ɨ']"
muin1242,FEATHER,"['ɨ', 'x', 'e']"
muin1242,FEATHER,"['ɨ', 'x', 'e', 'b', 'a']"
muin1242,SALT,"['ɨ', 'm', 'u', 'ʔ', 'u']"
muin1242,SALT,"['a', 'tʲ', 'o', 'g', 'a']"
muin1242,ONE,"['s', 'a', 'a', 'n', 'o']"
muin1242,TWO,"['m', 'i', 'i', 'n', 'o', 'k', 'ɨ']"
muin1242,THREE,"['m', 'i', 'i', 'n', 'o', 'k', 'ɨ', '+', 's', 'a', 'a', 'n', 'o']"
muin1242,FOUR,"['m', 'i', 'i', 'n', 'o', 'k', 'ɨ', '+', 'm', 'i', 'i', 'n', 'o', 'k', 'ɨ']"
muin1242,FOUR,"['i', 'g', 'e', 'e', 'n', 'e', 'm', 'e', 'ʔ', 'e', 'x', 'e']"
muin1242,FIVE,"['s', 'a', 'ʔ', 'u', 's', 'e']"
muin1242,I,"['u', 'u', 'x', 'o', 'ʔ', 'o']"
muin1242,THOU,"['ɨ', 'ɨ', 'x', 'o', 'ʔ', 'o']"
muin1242,HE,"['d', 'i', 'i', 'b', 'o']"
muin1242,HE,"['a', 'x', 'a', 'a', 'n', 'ɨ']"
muin1242,THROW,"['ɸ', 'i', 'k', 'u', 'ʔ', 'i']"
muin1242,THROW,"['g', 'a', 'ɲ', 'u', 'ʔ', 'i']"
muin1242,THROW,"['x', 'i', 'k', 'u', 'ʔ', 'i']"
muin1242,WE,"['m', 'ɨ', 'ɨ', 'ʔ', 'a', 'i']"
muin1242,WE,"['m', 'ɨ', 's', 'i']"
muin1242,WE,"['m', 'ɨ', 'ɸ', 'e']"
muin1242,YOU,"['a', 'm', 'ɨ', 'ɨ', 'ʔ', 'a', 'i']"
muin1242,YOU,"['a', 'm', 'ɨ', 'ɨ', 's', 'i']"
muin1242,YOU,"['a', 'm', 'ɨ', 'ɨ', 'ɸ', 'e']"
muin1242,SMALL,"['n', 'u', 'm', 'e', 'n', 'e', 'n', 'e']"
muin1242,SMALL,"['a', 'x', 'a', 'ʃ', 'u', 'n', 'o']"
muin1242,BAD,"['i', 'm', 'i', 't', 'ɨ', 'n', 'o']"
muin1242,WHITE,"['s', 'e', 's', 'e', 'e', 'n', 'e']"
muin1242,BLACK,"['k', 'ɨ', 'β', 'o', 'n', 'o']"
muin1242,CLOUD,"['a', 'i', 'm', 'u', 'u', 'ɸ', 'a', 'i']"
muin1242,CLOUD,"['a', 'i', 'm', 'u', 'u', 'ɸ', 'a', 'i', 'ʔ', 'u']"
muin1242,THIS,"['x', 'i', 'n', 'o']"
muin1242,THIS,"['x', 'i', 'i', 'x', 'e']"
muin1242,THAT,"['x', 'o', 'ʔ', 'o', 'n', 'o']"
muin1242,WHAT,"['x', 'i', 'n', 'e', 'x', 'e']"
muin1242,NOT,"['tʃ', 'a']"
muin1242,NOT,"['tʃ', 'a', 'ʔ', 'a', 'n', 'o']"
muin1242,NOT,"['t', 'ɨ']"
muin1242,ALL,"['ɸ', 'a', 'm', 'o', 'r', 'o']"
muin1242,ALL,"['ɸ', 'a', 'a', 'n', 'o']"
muin1242,ALL,"['p', 'a', 'rʲ', 'ɨ', 'ɨ']"
muin1242,MANY,"['g', 'i', 'r', 'a', 'a', 'm', 'o']"
muin1242,MANY,"['s', 'i', 'i', 't', 'ɨ']"
muin1242,LONG,"['k', 'a', 'a', 'm', 'o', 'β', 'o', 'n', 'o']"
muin1242,BARK,"['m', 'e', 'e', 'ʔ', 'u']"
muin1242,BARK,"['k', 'uː', 'm', 'e', 'e', 'ʔ', 'u']"
muin1242,FLESH OR MEAT,"['u', 'u', 'k', 'u']"
muin1242,FLESH OR MEAT,"['d', 'u', 'u', 'x', 'o', 'ʔ', 'o']"
muin1242,FLESH OR MEAT,"['a', 's', 'i', 'm', 'ɨ']"
muin1242,EGG,"['i', 'i', 'j', 'ɨ']"
muin1242,BELLY,"['i', 'i', 'b', 'a']"
muin1242,BELLY,"['x', 'e', 'e', 'b', 'ɨ', 'ɨ']"
muin1242,LIVER,"['i', 'g', 'a', 'n', 'o']"
muin1242,LIVER,"['i', 'i', 'g', 'a']"
muin1242,DRINK,"['a', 'd', 'u', 'ʔ', 'i']"
muin1242,EAT,"['d', 'u', 'u', 'ʔ', 'i']"
muin1242,EAT,"['g', 'e', 'e', 'n', 'e', 'ʔ', 'i']"
muin1242,EAT,"['m', 'a', 't', 'tʃ', 'u', 'ʔ', 'i']"
muin1242,BITE,"['e', 'e', 'd', 'u', 'ʔ', 'i']"
muin1242,SEE,"['a', 't', 'tʲ', 'ɨ', 'm', 'e', 'ʔ', 'i']"
muin1242,OLD,"['a', 'm', 'i', 'j', 'aː', 'b', 'o']"
muin1242,OLD,"['a', 'm', 'i', 'j', 'a', 't', 'o']"
muin1242,OLD,"['k', 'i', 'dʒ', 'a', 'ʔ', 'u', 't', 'o']"
muin1242,HEAR,"['g', 'u', 'u', 'b', 'u', 'ʔ', 'i']"
muin1242,KNOW (SOMETHING),"['g', 'a', 'a', 'x', 'a', 'ʔ', 'i']"
muin1242,SLEEP,"['k', 'ɨ', 'g', 'a', 'ʔ', 'i']"
muin1242,DIE,"['g', 'i', 'x', 'e', 'β', 'e', 'ʔ', 'i']"
muin1242,DIE,"['tʃ', 'e', 'e', 'm', 'e', 'ʔ', 'i']"
muin1242,DIE,"['tʃ', 'o', 'o', 'm', 'o', 'b', 'o']"
muin1242,KILL,"['g', 'i', 'x', 'e', 'β', 'e', 's', 'u', 'ʔ', 'i']"
muin1242,KILL,"['g', 'i', 'x', 'e', 'n', 'ɨ', 'ʔ', 'i']"
muin1242,KILL,"['g', 'a', 'i', 'k', 'k', 'a', 'a', 'u', 'ʔ', 'i']"
muin1242,SWIM,"['i', 's', 'i', 'ʔ', 'i']"
muin1242,FLY (MOVE THROUGH AIR),"['g', 'a', 'ʔ', 'a', 'ɸ', 'e', 'ʔ', 'i']"
muin1242,WALK,"['ɨ', 'g', 'e', 'ʔ', 'i']"
muin1242,COME,"['s', 'a', 'a', 'ʔ', 'i']"
muin1242,GIVE,"['a', 'k', 'ɨ', 'ʔ', 'i']"
muin1242,SAY,"['x', 'ɨ', 'ɨ', 'b', 'e', 'g', 'e', 'ʔ', 'i']"
muin1242,SAY,"['n', 'e', 'e', 'ʔ', 'i']"
muin1242,MOUNTAIN,"['g', 'a', 'x', 'ɨ']"
muin1242,MOUNTAIN,"['b', 'a', 'a', 'ɨ']"
muin1242,RED,"['t', 'ɨ', 'ɸ', 'a', 'i', 'ɲ', 'o']"
muin1242,GREEN,"['a', 'tʲ', 'ɨ', 'β', 'a', 'n', 'o']"
muin1242,YELLOW,"['g', 'i', 'i', 'g', 'i', 'β', 'a', 'n', 'o']"
muin1242,NEW,"['b', 'o', 'ʔ', 'o', 'n', 'o']"
muin1242,NEW,"['b', 'o']"
muin1242,NEW,"['b', 'u']"
muin1242,DRY,"['ɸ', 'i', 'i', 'g', 'a', 'ɲ', 'o']"
muin1242,NAME,"['m', 'o', 'm', 'o']"
muin1242,HOW,"['m', 'ɨ', 'dʒ', 'ɨ']"
muin1242,HOW,"['k', 'o', 'b', 'a', 'd', 'ɨ']"
muin1242,WHEN,"['s', 'u', 'm', 'i']"
muin1242,WHEN,"['k', 'u', 's', 'u', 'm', 'i']"
muin1242,WHERE,"['k', 'u', 'u', 'k', 'a']"
muin1242,HERE,"['x', 'u', 'u']"
muin1242,HERE,"['x', 'u', 'u', 'g', 'a', 'β', 'ɨ']"
muin1242,HERE,"['x', 'i', 'm', 'a', 'ɲ', 'o']"
muin1242,HERE,"['x', 'i', 'n', 'o', 'o', 'β', 'ɨ']"
muin1242,HERE,"['x', 'i', 'n', 'e', 'e', 'r', 'i']"
muin1242,THERE,"['x', 'a', 'ʔ', 'ɨ']"
muin1242,THERE,"['t', 'a', 'ʔ', 'ɨ']"
muin1242,THERE,"['o', 'o', 'n', 'o']"
muin1242,OTHER,"['s', 'i']"
muin1242,OTHER,"['s', 'i', 'ɸ', 'i']"
muin1242,FEW,"['a', 'x', 'a', 'ʃ', 'u', 'n', 'o']"
muin1242,FEW,"['s', 'a', 'n', 'o', 'o', 'd', 'ɨ', 'm', 'o']"
muin1242,FEW,"['m', 'ɨ', 'd', 'ɨ', 'n', 'o']"
muin1242,FOG,"['s', 'u', 'ɨ']"
muin1242,FLOW,"['n', 'iː', 'β', 'a', 'ʔ', 'i']"
muin1242,FLOW,"['k', 'uː', 'ʔ', 'i']"
muin1242,SEA,"['m', 'u', 'u', 'a', 'i']"
muin1242,WET,"['ɸ', 'e', 'e', 'ɸ', 'a', 'ɲ', 'o']"
muin1242,WET,"['m', 'a', 'a', 'ɲ', 'o']"
muin1242,WASH,"['n', 'i', 't', 'ɨ', 'ʔ', 'i']"
muin1242,WORM,"['x', 'ɨ', 'ʔ', 'ɨ', 'b', 'a']"
muin1242,WORM,"['tʃ', 'u', 'ʔ', 'u', 'i']"
muin1242,WING,"['x', 'ɨ', 'x', 'e', 'k', 'u']"
muin1242,WITH,"['m', 'a']"
muin1242,WITH,"['r', 'i']"
muin1242,IN,"['β', 'ɨ']"
muin1242,IN,"['ɸ', 'a', 'ɲ', 'o']"
muin1242,AT,"['β', 'ɨ']"
muin1242,IF,"['a', 'tʃ', 'o']"
muin1242,CHILD (YOUNG HUMAN),"['s', 'e', 'e', 'm', 'e', 'n', 'e']"
muin1242,CHILD (YOUNG HUMAN),"['g', 'a', 'i', 'ɸ', 'i', 'i', 's', 'e', 'e']"
muin1242,CUT,"['g', 'a', 'β', 'ɨ', 'r', 'ɨ', 'ɨ', 'k', 'u', 'ʔ', 'i']"
muin1242,CUT,"['k', 'i', 't', 'ɨ', 'ʔ', 'i']"
muin1242,CUT,"['t', 'u', 't', 'u', 'k', 'u', 'ʔ', 'i']"
muin1242,WIDE,"['k', 'a', 'r', 'e', 'k', 'u', 'n', 'o']"
muin1242,NARROW,"['i', 'i', 'x', 'e', 'n', 'e']"
muin1242,FAR,"['t', 'e', 'ʔ', 'e', 's', 'i', 'n', 'o']"
muin1242,NEAR,"['ɸ', 'i', 'i', 't', 'ɨ', 'n', 'o']"
muin1242,NEAR,"['t', 'e', 'ʔ', 'e', 's', 'i', 't', 'ɨ', 'n', 'o']"
muin1242,THICK,"['ɸ', 'e', 'e', 'm', 'e', 'n', 'e']"
muin1242,THIN,"['ɨ', 's', 'i', 'n', 'o']"
muin1242,THIN,"['a', 'ɲ', 'i', 'n', 'o']"
muin1242,SHORT,"['b', 'a', 'a', 'r', 'e', 'n', 'e']"
muin1242,HEAVY,"['b', 'o', 'k', 'ɨ', 'n', 'o']"
muin1242,BLUNT,"['s', 'ɨ', 'ɨ', 'x', 'e', 'β', 'a', 't', 'ɨ', 'n', 'o']"
muin1242,BLUNT,"['g', 'i', 'ʔ', 'i', 'u', 'o']"
muin1242,SHARP,"['s', 'ɨ', 'ɨ', 'x', 'e', 'β', 'a', 'n', 'o']"
muin1242,DIRTY,"['x', 'i', 'i', 'n', 'i', 'β', 'a', 'n', 'o']"
muin1242,DIRTY,"['ɨ', 'd', 'i', 'k', 'k', 'u', 'n', 'o']"
muin1242,DIRTY,"['b', 'e', 'e', 'β', 'a', 'n', 'o']"
