# Wordlist

# DATA
ID	DOCULECT	VALUE	FORM	CONCEPT	TOKENS	COGID	MORPHEMES	ALIGNMENT	NOTE
4578	Zaparo	ahanaka	ahanaka	smoke (of fire)	a h a n a k a	1751		a h a n a k a	
#
137	Iquito	aákanana	aákanana	smooth	!aá/aː k a n a n a	1770		!aá/aː k a n a n a	smooth
415	Ocaina	ɸííji	ɸííji	smooth	ɸ !íí/iː j i	1772		ɸ !íí/iː j i	
591	Resigaro	heʔníʔ	heʔníʔ	smooth	h e ʔ n !í/i ʔ	1773		h e ʔ n !í/i ʔ	
804	WitotoMinica	rɯ́ɯrede	rɯ́ɯrede	smooth	!r/ɾ !ɯ́ɯ/ɯː !r/ɾ e d e	1778		!r/ɾ !ɯ́ɯ/ɯː - - !r/ɾ e d e	
1011	WitotoMurui	rɯhɯrede	rɯhɯrede	smooth	r ɯ h ɯ r e d e	1778		r ɯ h ɯ r e d e	
1216	WitotoNipode	rɯ́ɯrede	rɯ́ɯrede	smooth	!r/ɾ !ɯ́ɯ/ɯː !r/ɾ e d e	1778		!r/ɾ !ɯ́ɯ/ɯː - - !r/ɾ e d e	
1351	Aguaruna	tʃuwin	tʃuwin	smooth	tʃ ʊ w i n	1765		tʃ ʊ w i n	
1483	Arabela	j̃uusukwa	j̃uusukwa	smooth	!h̃/h uː s u k ua	1766		!h̃/h uː s u k ua	
1597	Candoshi-Shapra	moʈʂaʈʂa	moʈʂaʈʂa	smooth	m o ʈʂ a ʈʂ a	1768		m o ʈʂ a ʈʂ a	
1722	Chayahuita	kanioʃin	kanioʃin	smooth	k a n i o ʃ i n	1769		k a n i o ʃ i n	
1846	Muniche	açma	açma	smooth	a ç m a	1771		a ç m a	
1950	Taushiro	aʔihinhiɾo	aʔihinhiɾo	smooth	a ʔ i h i n h i ɾ o	1775		a ʔ i h i n h i ɾ o	
2471	Proto-Bora-Muinane	prɨɨkɨ-	prɨɨkɨ-	smooth	p r ɨ ɨ k ɨ	1767		p - r ɨ ɨ k ɨ - -	
2472	Proto-Bora-Muinane	mooβa-	mooβa-	smooth	m o o β a	1781		m o o β - - a	
2473	Bora	pʰɨ́rɯɯkʰɯ́-ne	pʰɨ́rɯɯkʰɯ́-ne	smooth	pʰ !ɨ́/ɨ r ɯ ɯ kʰ !ɯ́/ɯ n e	1767		pʰ !ɨ́/ɨ r ɯ ɯ kʰ !ɯ́/ɯ n e	
2474	Bora	mééβa-ne	mééβa-ne	smooth	m !é/e !é/e β a n e	1781		m !é/e !é/e β a n e	
2475	Muinane	párʲɨ́ɨ́kɨno	párʲɨ́ɨ́kɨno	smooth	p !á/a rʲ !ɨ́/ɨ !ɨ́/ɨ k ɨ n o	1767		p !á/a rʲ !ɨ́/ɨ !ɨ́/ɨ k ɨ n o	
2476	Muinane	móóβano	móóβano	smooth	m !ó/o !ó/o β a n o	1781		m !ó/o !ó/o β a n o	
2700	AchuarShiwiar	pínu	pínu	smooth	p !í/i n u	1764		p !í/i n - - - - u	
3317	Shiwilu	kudi	kudi	smooth	k u ð i	1774		k u ð i	
3495	Shuar	piniúkma	piniúkma	smooth	p i n i !ú/u k m a	1764		p i n i !ú/u k m a	
3872	Urarina	hiʧad̪akúhʷai	hiʧad̪akúhʷai	smooth	h i tʃ a d a k !ú/u hʷ a i	1776		h i tʃ a d a k !ú/u hʷ a i	
4064	Wampis	tamer	tamer	smooth	t a m e r	1777		t a m e r	
4218	Yagua	wasadya	wasadya	smooth	w a s a dʲ a	1779		w a s a dʲ a	
4426	Yanesha	aʎiɲ	aʎiɲ	smooth	a ʎ i ɲ	1780		a ʎ i ɲ	
#
138	Iquito	sirɨ́ɨni	sirɨ́ɨni	snake	s i r !ɨ́ɨ/ɨː n i	1785		s i r !ɨ́ɨ/ɨː n i	a worm or snake
251	Ocaina	anɯ̃ʔtʲṍko	anɯ̃ʔtʲṍko	snake	a n !ɯ̃/ɯ ʔ tʲ !ṍ/o k o	1788		a n !ɯ̃/ɯ ʔ tʲ !ṍ/o k o	
252	Ocaina	gõhṍṍʔĩʔtsi	gõhṍṍʔĩʔtsi	snake	g !õ/o h !ṍṍ/oː ʔ !ĩ/i ʔ ts i	1798		g !õ/o h !ṍṍ/oː ʔ !ĩ/i ʔ ts i	
253	Ocaina	tʲorooʔo	tʲorooʔo	snake	tʲ o r oː ʔ o	1799		tʲ o r oː ʔ o	
487	Resigaro	onáʔkó	onáʔkó	snake	o n !á/a ʔ k !ó/o	1790		o n !á/a ʔ k !ó/o	
667	WitotoMinica	háio	háio	snake	h !á/a i o	1793		h !á/a i o	
885	WitotoMurui	haio	haio	snake	h ai o	1793		h ai - o	
1089	WitotoNipode	iβána	iβána	snake	i β !á/a n a	1794		i β !á/a n a	
1090	WitotoNipode	háio	háio	snake	h !á/a i o	1793		h !á/a i o	
2197	Proto-Bora-Muinane	hiinimo	hiinimo	snake	h i i n i m o	1783		h i i n i m o	
2198	Bora	ííɲimʲe	ííɲimʲe	snake	!í/i !í/i ɲ i mʲ e	1783		- !í/i !í/i ɲ i mʲ e	
2199	Muinane	híinimo	híinimo	snake	h !í/i i n i m o	1783		h !í/i i n i m o	
2701	AchuarShiwiar	nápi	nápi	snake	n !á/a p i	1782		n !á/a p i	
3028	Juri	göohti	göohti	snake	g !ö/o o ʔ t i	1786		g !ö/o o ʔ t i	Martius: serpens
3079	Coeruna	átziú	átziú	snake	!á/a dz i !ú/u	1784		!á/a dz i !ú/u	Martius: serpens
3176	MiranhaCarapana-Tapuya	mahtzó	mahtzó	snake	m a ʔ dz !ó/o	1787		m a ʔ dz !ó/o	Martius: serpens
3318	Shiwilu	da’wan	da’wan	snake	ð a ʔ w a n	1791		ð a ʔ w a n	
3496	Shuar	napi	napi	snake	n a p i	1782		n a p i	
3611	Omurano	r̥óma	r̥óma	snake	!r̥/r !ó/o m a	1789		!r̥/r !ó/o m a	Tessmann: Schlange
3688	Yameo	šatŭ́n̊	šatŭ́n̊	snake	ʃ a t !ŭ́/u !n̊/n	1796		ʃ a t !ŭ́/u !n̊/n	Tessmann: Schlange
3735	Urarina	aʰkan̪ṹ	aʰkan̪ṹ	snake	!aʰ/a̤ k a n !̪ṹ/u	1792		!aʰ/a̤ k a n !̪ṹ/u	
3936	Wampis	napi	napi	snake	n a p i	1782		n a p i	
4087	Yagua	kodi	kodi	snake	k o d i	1795		k o d i	
4264	Yanesha	ʃet͡ʃepʲ	ʃet͡ʃepʲ	snake	ʃ e tʃ e pʲ	1797		ʃ e tʃ e pʲ	
#
3319	Shiwilu	saneklu’	saneklu’	snow	s a n ə ˀk l u ʔ	1800		s a n ə ˀk l u ʔ	
3497	Shuar	etsétsentai	etsétsentai	snow	ɨ ts !é/ɨ ts ɨ n t ei	1801		ɨ ts !é/ɨ ts ɨ n t ei	
3873	Urarina	d̪ed̪e s̪akád̺i	d̪ed̪e s̪akád̺i	snow	d e d e s a k !á/a d i	1802		d e d e s a k !á/a d i	
4145	Yagua	piryeradi	piryeradi	snow	p i rʲ e r a d i	1803		p i rʲ e r a d i	
#
139	Iquito	jɨɨ́timi	jɨɨ́timi	some	h !ɨɨ́/ɨː t i m i	1808		h !ɨɨ́/ɨː t i m i	some
140	Iquito	jɨɨ́tipɨ	jɨɨ́tipɨ	some	h !ɨɨ́/ɨː t i p ɨ	1808		h !ɨɨ́/ɨː t i p ɨ	some
1352	Aguaruna	matʃikiutʃ	matʃikiutʃ	some	m a tʃ i k i ʊ tʃ	1805		m a tʃ i k i ʊ tʃ	
1484	Arabela	tamonu	tamonu	some	t a m o n u	1806		t a m o n u	
1723	Chayahuita	aʔnakɨn	aʔnakɨn	some	a ʔ n a k ɨ n	1807		a ʔ n a k ɨ n	
2063	Waorani	pãkaa	pãkaa	some	p !ã/a k a a	1812		p !ã/a k a a	
2702	AchuarShiwiar	júmchik	júmchik	some	h !ú/u m tʃ i k	1804		h !ú/u m tʃ i k	
3320	Shiwilu	nu’unta’	nu’unta’	some	n u ʔ u n d a ʔ	1809		n u ʔ u n d a ʔ	
3886	Urarina	ʤɨn̪ĩkúʷa	ʤɨn̪ĩkúʷa	some	dʒ ɨ n !̪ĩ/i k !úʷ/u a	1810		dʒ ɨ n !̪ĩ/i k !úʷ/u a	
3905	Wampis	nukap	nukap	some	n u k a p	1811		n u k a p	
4469	Yanesha	patantaɻ	patantaɻ	some	p a t a n t a ɻ	1813		p a t a n t a ɻ	
#
146	Iquito	sawija	sawija	star	s a w i h a	1821		s a w i h a	star
242	Ocaina	oʔxóóʔtʲo	oʔxóóʔtʲo	star	o ʔ x !óó/oː ʔ tʲ o	1825		o ʔ x !óó/oː ʔ tʲ o	
479	Resigaro	hiβíigí	hiβíigí	star	h i β !íi/iː g !í/i	1827		h i β !íi/iː g !í/i	
658	WitotoMinica	ukúdu	ukúdu	star	u k !ú/u d u	1823		u k !ú/u d u	
876	WitotoMurui	ukudu	ukudu	star	u k u d u	1823		u k u d u	
1081	WitotoNipode	ukúdo	ukúdo	star	u k !ú/u d o	1823		u k !ú/u d o	
1355	Aguaruna	jaja	jaja	star	j a j a	1814		j a j a	
1486	Arabela	ɾij̃ia	ɾij̃ia	star	ɾ i !h̃/h i a	1815		ɾ i !h̃/h i a	
1600	Candoshi-Shapra	tsaŋkatʃi	tsaŋkatʃi	star	ts a ŋ k a tʃ i	1817		ts a ŋ k a tʃ i	
1726	Chayahuita	tayoɾa	tayoɾa	star	t a j o ɾ a	1819		t a - j o ɾ a	
1849	Muniche	tʃatʃa	tʃatʃa	star	tʃ a tʃ a	1824		tʃ a tʃ a	
1952	Taushiro	aʔtʃiwi	aʔtʃiwi	star	a ʔ tʃ i w i	1828		a ʔ tʃ i w i	
2064	Waorani	dẽbõ	dẽbõ	star	d !ẽ/e b !õ/o	1830		d !ẽ/e b !õ/o	
2176	Proto-Bora-Muinane	meekɨrɨ-gai	meekɨrɨ-gai	star	m e e k ɨ r ɨ g a i	1816		m e e k ɨ r ɨ g a i	
2177	Bora	mɨ́ɨ́kʰɯ́rɯ-kʷa	mɨ́ɨ́kʰɯ́rɯ-kʷa	star	m !ɨ́/ɨ !ɨ́/ɨ kʰ !ɯ́/ɯ r ɯ kʷ a	1816		m !ɨ́/ɨ !ɨ́/ɨ kʰ !ɯ́/ɯ r ɯ kʷ a -	
2178	Muinane	méékɨrɨ-gai	méékɨrɨ-gai	star	m !é/e !é/e k ɨ r ɨ g a i	1816		m !é/e !é/e k ɨ r ɨ g a i	
2707	AchuarShiwiar	yaa	yaa	star	j aː	1814		j aː - -	
2854	Canichana	ni-coma	ni-coma	star	n i k o m a	1818		n i k o m a	ni = ABS
2997	Juri	ohngo	ohngo	star	o ʔ n g o	1822		o ʔ n g o	Martius: stella
2998	Juri	ukoo	ukoo	star	u k o o	1835		u k o o	Martius: stella
2999	Juri	oúco	oúco	star	o !ú/u c o	1836		o !ú/u c o	Martius: stella
3081	Coeruna	ighkeahaí	ighkeahaí	star	i g k e a ʔ a !í/i	1820		i g k e a ʔ a !í/i	Martius: stella
3178	MiranhaCarapana-Tapuya	ickótzŏ	ickótzŏ	star	i k !ó/o dz !ŏ/o	1823		i k !ó/o dz !ŏ/o	Martius: stella
3323	Shiwilu	tandula	tandula	star	t a n ð u l a	1819		t a n ð u l a	
3503	Shuar	yáa	yáa	star	j !áa/aː	1814		j !áa/aː - -	
3602	Omurano	θnn̄́	θnn̄́	star	θ n n	1826		θ n n	Tessmann: Stern
3677	Yameo	kláṛeši	kláṛeši	star	k l !á/a !ṛ/r e ʃ i	1832		k l !á/a !ṛ/r e ʃ i	Tessmann: Stern
3736	Urarina	ad̺as̪ihié	ad̺as̪ihié	star	a d a s i h i !é/e	1829		a d a s i h i !é/e	
4025	Wampis	yaa	yaa	star	j a a	1814		j a - a	
4151	Yagua	darichi	darichi	star	d a r i tʃ i	1831		d a r i tʃ i	
4354	Yanesha	ɾanto	ɾanto	star	ɾ a n t o	1833		ɾ a n t o	
4581	Zaparo	naricha	naricha	star	n a r i tʃ a	1834		n a r i tʃ a	
#
147	Iquito	náànà	náànà	stick (of wood)	n !áà/aː n !à/a	1840		n !áà/aː n !à/a	
269	Ocaina	diáátʲa	diáátʲa	stick (of wood)	d i !áá/aː tʲ a	1841		d i !áá/aː tʲ a	
270	Ocaina	dʲatʲooɸo	dʲatʲooɸo	stick (of wood)	dʲ a tʲ oː ɸ o	1851		dʲ a tʲ oː ɸ o	
271	Ocaina	am̥ɯ̃ɯ̃ɲ̥a	am̥ɯ̃ɯ̃ɲ̥a	stick (of wood)	a m̥ !ɯ̃ɯ̃/ɯɯ ɲ̥ a	1852		a m̥ !ɯ̃ɯ̃/ɯɯ ɲ̥ a	
497	Resigaro	aβáanaí	aβáanaí	stick (of wood)	a β !áa/aː n a !í/i	1843		a β !áa/aː n a !í/i	
678	WitotoMinica	ráda	ráda	stick (of wood)	!r/ɾ !á/a d a	1839		!r/ɾ !á/a d - - a	
679	WitotoMinica	radóθi	radóθi	stick (of wood)	!r/ɾ a d !ó/o θ i	1839		!r/ɾ a d !ó/o θ i	
680	WitotoMinica	aména	aména	stick (of wood)	a m !é/e n a	1852		a m !é/e n a	
896	WitotoMurui	rada	rada	stick (of wood)	r a d a	1839		r a d - - a	
897	WitotoMurui	radoθi	radoθi	stick (of wood)	r a d o θ i	1839		r a d o θ i	
898	WitotoMurui	amena	amena	stick (of wood)	a m e n a	1852		a m e n a	
1104	WitotoNipode	ráda	ráda	stick (of wood)	!r/ɾ !á/a d a	1839		!r/ɾ !á/a d - - a	
1105	WitotoNipode	radóti	radóti	stick (of wood)	!r/ɾ a d !ó/o t i	1839		!r/ɾ a d !ó/o t i	
2218	Proto-Bora-Muinane	ɨmoo-ʔi	ɨmoo-ʔi	stick (of wood)	ɨ m o o ʔ i	1838		ɨ m o o ʔ - i	
2219	Bora	ɯ́mé-ʔe-i	ɯ́mé-ʔe-i	stick (of wood)	!ɯ́/ɯ m !é/e ʔ e i	1838		!ɯ́/ɯ m - !é/e ʔ e i	
2220	Muinane	ɨ́mee-ʔi	ɨ́mee-ʔi	stick (of wood)	!ɨ́/ɨ m e e ʔ i	1838		!ɨ́/ɨ m e e ʔ - i	
2708	AchuarShiwiar	númi	númi	stick (of wood)	n !ú/u m i	1837		n !ú/u m i	Phonolotical alternation: yúmi
3324	Shiwilu	nala	nala	stick (of wood)	n a l a	1844		n a l a	
3504	Shuar	numi	numi	stick (of wood)	n u m i	1837		n u m i	
3562	Chibito	mitš	mitš	stick (of wood)	m i tʃ	1839		m i tʃ - - -	Tessmann: Stock
3581	Omurano	áă	áă	stick (of wood)	!á/a !ă/a	1842		!á/a !ă/a	Tessmann: Stock
3640	Tequiraca	áwa	áwa	stick (of wood)	!á/a w a	1845		!á/a w a	Tessmann: Stock
3653	Yameo	ō̠ɣŭ́'	ō̠ɣŭ́'	stick (of wood)	!ō̠/o ɣ !ŭ́/u	1848		!ō̠/o ɣ !ŭ́/u	Tessmann: Stock
3834	Urarina	en̪ɨ̃ᶭã́	en̪ɨ̃ᶭã́	stick (of wood)	e n !̪ɨ̃ᶭ/ɨ !ã́/a	1846		e n !̪ɨ̃ᶭ/ɨ !ã́/a	
3940	Wampis	numi	numi	stick (of wood)	n u m i	1837		n u m i	
4129	Yagua	jipu	jipu	stick (of wood)	h i p u	1847		h i p u	
4325	Yanesha	sat͡ʃ / sat͡ʃep / t͡ʃesap	sat͡ʃ	stick (of wood)	s a tʃ	1849		s a tʃ - -	
4326	Yanesha	sat͡ʃ / sat͡ʃep / t͡ʃesap	sat͡ʃep	stick (of wood)	s a tʃ e p	1849		s a tʃ e p	
4327	Yanesha	sat͡ʃ / sat͡ʃep / t͡ʃesap	t͡ʃesap	stick (of wood)	tʃ e s a p	1849		tʃ e s a p	
4582	Zaparo	amaka	amaka	stick (of wood)	a m a k a	1850		a m a k a	
#
148	Iquito	sawija	sawija	stone	s a w i h a	1855		s a w i h - a	stone
247	Ocaina	gotɯ́ɯ́ʔxo	gotɯ́ɯ́ʔxo	stone	g o t !ɯ́ɯ́/ɯː ʔ x o	1861		g o t !ɯ́ɯ́/ɯː ʔ x o	
483	Resigaro	βííʃiʔóú	βííʃiʔóú	stone	β !íí/iː ʃ i ʔ !ó/o !ú/u	1863		β !íí/iː ʃ i ʔ !ó/o !ú/u	
663	WitotoMinica	noɸɯkɯ	noɸɯkɯ	stone	n o ɸ ɯ k ɯ	1868		n o ɸ ɯ k ɯ	
881	WitotoMurui	noɸɯkɯ	noɸɯkɯ	stone	n o ɸ ɯ k ɯ	1868		n o ɸ ɯ k ɯ	
1085	WitotoNipode	nopɯkɯ	nopɯkɯ	stone	n o p ɯ k ɯ	1868		n o p ɯ k ɯ	
1356	Aguaruna	kaja	kaja	stone	k a j a	1853		k a j a	
1487	Arabela	saaj̃ia	saaj̃ia	stone	s aː !h̃/h i a	1855		s aː - - !h̃/h i a	
1601	Candoshi-Shapra	patomptʃi	patomptʃi	stone	p a t o m p tʃ i	1856		p a t o m p tʃ i	
1727	Chayahuita	naʔpi	naʔpi	stone	n a ʔ p i	1858		n a ʔ p i	
1850	Muniche	sɨstɨ	sɨstɨ	stone	s ɨ s t ɨ	1860		s ɨ s t ɨ	
1953	Taushiro	hanɨʔtʃi	hanɨʔtʃi	stone	h a n ɨ ʔ tʃ i	1864		h a n ɨ ʔ tʃ i	
2065	Waorani	dika	dika	stone	d i k a	1867		d i k a	
2709	AchuarShiwiar	káya	káya	stone	k !á/a j a	1853		k !á/a j a	
2783	Andoa	tasayjyá	tasayjyá	stone	t a s a j h j !á/a	1854		t a s a j h j !á/a	
2855	Canichana	ni-cumchi	ni-cumchi	stone	n i k u m tʃ i	1857		n i k u m tʃ i	ni = ABS
3325	Shiwilu	la’pi	la’pi	stone	l a ʔ p i	1858		l a ʔ p i	
3505	Shuar	kaya	kaya	stone	k a j a	1853		k a j a	
3558	Chibito	tšē	tšē	stone	tʃ !ē/e	1859		tʃ !ē/e	Tessmann: Stein
3578	Omurano	tiṓkn	tiṓkn	stone	t i !ṓ/o k n	1862		t i !ṓ/o k n	Tessmann: Stein
3638	Tequiraca	noklo̯ā́xe̯	noklo̯ā́xe̯	stone	n o k l !o̯/o !ā́/a x !e̯/e	1865		n o k l !o̯/o !ā́/a x !e̯/e	Tessmann: Stein
3650	Yameo	rŭšŭ' (ruwisu)	rŭšŭ'	stone	r !ŭ/u ʃ !ŭ/u	1870		r !ŭ/u ʃ !ŭ/u	Tessmann: Stein
3723	Urarina	ahed̺í	ahed̺í	stone	a h e d !̺í/i	1866		a h e d !̺í/i	
4032	Wampis	kaya	kaya	stone	k a j a	1853		k a j a	
4142	Yagua	rawuchu	rawuchu	stone	r a w u tʃ u	1869		r a w u tʃ u	
4345	Yanesha	mapʷeˀ	mapʷeˀ	stone	m a pʷ e ʔ	1871		m a pʷ e ʔ	
4583	Zaparo	naruka	naruka	stone	n a r u k a	1872		n a r u k a	
#
149	Iquito	kamíkiikaana	kamíkiikaana	straight	k a m !í/i k iː k aː n a	1877		k a m !í/i k iː k aː n a	straight
416	Ocaina	ɸóóʔtʲa	ɸóóʔtʲa	straight	ɸ !óó/oː ʔ tʲ a	1878		ɸ !óó/oː ʔ tʲ a	
592	Resigaro	tsíʔkíʔ	tsíʔkíʔ	straight	td !í/i ʔ k !í/i ʔ	1879		td !í/i ʔ k !í/i ʔ	
805	WitotoMinica	haɯ́kɯna	haɯ́kɯna	straight	h a !ɯ́/ɯ k ɯ n a	1884		h a !ɯ́/ɯ k ɯ n - - a	
1012	WitotoMurui	atona	atona	straight	a t o n a	1885		a t o n a	
1217	WitotoNipode	haɯ́kɯnade	haɯ́kɯnade	straight	h a !ɯ́/ɯ k ɯ n a d e	1884		h a !ɯ́/ɯ k ɯ n a d e	
1357	Aguaruna	tutupit	tutupit	straight	t ʊ t ʊ p i t	1873		t ʊ t ʊ p i t	
1488	Arabela	j̃akananaj̃a	j̃akananaj̃a	straight	!h̃/h a k a n a n a !h̃/h a	1874		!h̃/h a k a n a n a !h̃/h a	
1728	Chayahuita	noʔtɨkɨn	noʔtɨkɨn	straight	n o ʔ t ɨ k ɨ n	1876		n o ʔ t ɨ k ɨ n	
1954	Taushiro	xohuɨn	xohuɨn	straight	x o h u ɨ n	1882		x o h u ɨ n	
2066	Waorani	tõ	tõ	straight	t !õ/o	1880		t !õ/o -	
2477	Proto-Bora-Muinane	ʦa-tɨkko-βo	ʦa-tɨkko-βo	straight	ts a t ɨ k k o β o	1875		ts a t ɨ k k o β o	
2478	Bora	ʦʰa-tʰɯ́hkʰe-βe	ʦʰa-tʰɯ́hkʰe-βe	straight	tsʰ a tʰ !ɯ́/ɯ h kʰ e β e	1875		tsʰ a tʰ !ɯ́/ɯ h kʰ e β e	
2479	Muinane	sá-tɨ́kko-βo	sá-tɨ́kko-βo	straight	s !á/a t !ɨ́/ɨ k k o β o	1875		s !á/a t !ɨ́/ɨ k k o β o	
2710	AchuarShiwiar	túpin	túpin	straight	t !ú/u p i n	1873		t !ú/u - - p i n	
3326	Shiwilu	chek	chek	straight	tʃ ə ˀk	1880		tʃ ə ˀk	
3506	Shuar	naka	naka	straight	n a k a	1881		n a k a	
3865	Urarina	d̪aɨhíd̪ĩ	d̪aɨhíd̪ĩ	straight	d a ɨ h !í/i d !̪ĩ/i	1883		d a ɨ h !í/i d !̪ĩ/i	
4061	Wampis	tutupin	tutupin	straight	t u t u p i n	1873		t u t u p i n	
4221	Yagua	wase	wase	straight	w a s e	1886		w a s e	
4432	Yanesha	patʂaɻ	patʂaɻ	straight	p a tʂ a ɻ	1887		p a tʂ a ɻ	
#
151	Iquito	nunamija	nunamija	sun	n u n a m i h a	1895		n u n a m i h a	the sun
241	Ocaina	nɯ́ɯ́na	nɯ́ɯ́na	sun	n !ɯ́ɯ́/ɯː n a	1899		n !ɯ́ɯ́/ɯː n a	
478	Resigaro	háʔí	háʔí	sun	h !á/a ʔ !í/i	1901		h !á/a ʔ !í/i	
657	WitotoMinica	hitóma	hitóma	sun	h i t !ó/o m a	1908		h i t !ó/o m a	
875	WitotoMurui	hitoma	hitoma	sun	h i t o m a	1908		h i t o m a	
1080	WitotoNipode	hiɗóma	hiɗóma	sun	h i ɗ !ó/o m a	1908		h i ɗ !ó/o m a	
1359	Aguaruna	ɨtsa	ɨtsa	sun	ɨ ts a	1888		ɨ - ts a	
1490	Arabela	pananu	pananu	sun	p a n a n u	1889		- p a n a n u	
1603	Candoshi-Shapra	ʂaaɾi	ʂaaɾi	sun	ʂ aː ɾ i	1891		ʂ aː ɾ i	
1729	Chayahuita	piʔi	piʔi	sun	p i ʔ i	1893		p i ʔ i	
1852	Muniche	fa	fa	sun	f a	1898		f a	
1955	Taushiro	aʔkuʔ	aʔkuʔ	sun	a ʔ k u ʔ	1904		a ʔ k u ʔ	
2067	Waorani	dæ̃ke	dæ̃ke	sun	d !æ̃/æ k e	1907		d !æ̃/æ k e	
2173	Proto-Bora-Muinane	nɨʔba	nɨʔba	sun	n ɨ ʔ b a	1890		n ɨ ʔ - b a	
2174	Bora	nɯʔpa	nɯʔpa	sun	n ɯ ʔ p a	1890		n ɯ ʔ - p a	
2175	Muinane	nɨ́ʔɨba	nɨ́ʔɨba	sun	n !ɨ́/ɨ ʔ ɨ b a	1890		n !ɨ́/ɨ ʔ ɨ b a	
2712	AchuarShiwiar	tsaa	tsaa	sun	ts aː	1888		- - ts aː	Phonolotical alternation: etsáa
2784	Andoa	opanáno	opanáno	sun	o p a n !á/a n o	1889		o p a n !á/a n o	
2856	Canichana	ni-coxli	ni-coxli	sun	n i k o h l i	1892		n i k o h l i	ni = ABS
2994	Juri	ijü	ijü	sun	i h ɨ	1896		i h ɨ	Martius: sol
2995	Juri	yyú	yyú	sun	j j !ú/u	1911		j j !ú/u	Martius: sol
2996	Juri	iyé	iyé	sun	i j !é/e	1912		i j !é/e	Martius: sol
3080	Coeruna	äócke	äócke	sun	!ä/a !ó/o k e	1888		!ä/a !ó/o k e	Martius: sol
3118	Pebas	wana	wana	sun	w a n a	1899		w a n a	Martius: sol
3177	MiranhaCarapana-Tapuya	máhwarĭ	máhwarĭ	sun	m !á/a ʔ w a r !ĭ/i	1897		m !á/a ʔ w a r !ĭ/i	Martius: sol
3328	Shiwilu	kekki	kekki	sun	kˀ ə k k i	1902		kˀ ə k k i	
3508	Shuar	tsawái-nantu	tsawái-nantu	sun	ts a w !ái/ei n a n t u	1903		ts a w !ái/ei n a n t u	
3557	Chibito	nim (njim)	nim	sun	n i m	1894		n i m	Tessmann: Sonne
3577	Omurano	hḗ̠na	hḗ̠na	sun	h !ḗ̠/e n a	1900		h !ḗ̠/e n a	Tessmann: Sonne
3637	Tequiraca	akro̯ā́k	akro̯ā́k	sun	a k r !o̯/o !ā́/a k	1905		a k r !o̯/o !ā́/a k	Tessmann: Sonne
3649	Yameo	natĕ̠́ra	natĕ̠́ra	sun	n a t !ĕ̠́/e r a	1909		n a t !ĕ̠́/e r a	Tessmann: Sonne
3777	Urarina	en̪ũt̪ú	en̪ũt̪ú	sun	e n !̪ũ/u t !̪ú/u	1906		e n !̪ũ/u t !̪ú/u	
4024	Wampis	etsa	etsa	sun	e ts a	1888		e - ts a	
4150	Yagua	ñi	ñi	sun	ɲ i	1894		ɲ i -	
4353	Yanesha	atsneˀ	atsneˀ	sun	a ts n e ʔ	1910		a ts n e ʔ	
4585	Zaparo	yanawkwa	yanawkwa	sun	j a n au kʷ a	1889		- j a n au kʷ a	
#
154	Iquito	aniáàsì	aniáàsì	tail	a n i !áà/aː s !ì/i	1917		a n i !áà/aː s !ì/i	
250	Ocaina	oʔoo	oʔoo	tail	o ʔ oː	1919		o ʔ oː	
486	Resigaro	tsʰíipí	tsʰíipí	tail	tsʰ !íi/iː p !í/i	1920		tsʰ !íi/iː p !í/i	
666	WitotoMinica	óda	óda	tail	!ó/o d a	1924		!ó/o d a	
884	WitotoMurui	omakaɯ	omakaɯ	tail	o m a k aɯ	1925		o m a k aɯ	
1088	WitotoNipode	óda	óda	tail	!ó/o d a	1924		!ó/o d a	
1361	Aguaruna	uhukɨ	uhukɨ	tail	ʊ h ʊ k ɨ	1913		ʊ h ʊ k ɨ	
1492	Arabela	pitiu	pitiu	tail	p i t i u	1914		p i t i u	
1605	Candoshi-Shapra	waniiʃi	waniiʃi	tail	w a n iː ʃ i	1916		w a n iː ʃ i -	
1731	Chayahuita	winamɨn	winamɨn	tail	w i n a m ɨ n	1916		w i n a m ɨ n	
1854	Muniche	ɾuku	ɾuku	tail	ɾ u k u	1918		ɾ u k u	
2069	Waorani	õdõkaibĩjæ̃	õdõkaibĩjæ̃	tail	!õ/o d !õ/o k a i b !ĩ/i j !æ̃/æ	1923		!õ/o d !õ/o k a i b !ĩ/i j !æ̃/æ	
2194	Proto-Bora-Muinane	bu	bu	tail	b u	1915		- - b u - - -	
2195	Bora	pó-kʷaá	pó-kʷaá	tail	p !ó/o kʷ a !á/a	1915		- - p !ó/o kʷ a !á/a	
2196	Muinane	íí-bu-ʔu	íí-bu-ʔu	tail	!í/i !í/i b u ʔ u	1915		!í/i !í/i b u ʔ u -	
2714	AchuarShiwiar	juké̃	juké̃	tail	h u k !é̃/ɨ	1913		- h u k !é̃/ɨ	Phonolotical alternation: ujuké̃
3330	Shiwilu	llintek	llintek	tail	ʎ i n d ə ˀk	1921		ʎ i n d ə ˀk	
3511	Shuar	ujuke	ujuke	tail	u h u k ɨ	1913		u h u k ɨ	
3749	Urarina	n̪ɨ̃s̪eéi	n̪ɨ̃s̪eéi	tail	n !̪ɨ̃/ɨ s e !é/e i	1922		n !̪ɨ̃/ɨ s e !é/e i	
3954	Wampis	ujuke	ujuke	tail	u h u k e	1913		u h u k e	ujukV + possessión
