ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	ALIGNMENT	COGID	COGIDS	SOURCE	STRUCTURE
4849	Aguaruna	cold (of weather)	tsetsék	tsetsék	ts ɨ ts ɨ k	None	Chicham	ts ɨ ts ɨ k	3261	546	Paati2020	C V C V C
4851	Shuar	cold (of weather)	tsetsek	tsetsek	ts ɨ ts ɨ k	None	Chicham	ts ɨ ts ɨ k	3261	546	Pellizzaro2005	C V C V C
4223	Wampis	cold (of weather)	tsetsek	tsetsek	ts ɨ ts ɨ k	None	Chicham	ts ɨ ts ɨ k	3261	546	Peña2023	C V C V C
372	Ocaina	day (opposite of night rather than time measure)	mooɲ̥a	mooɲ̥a	m oː ɲ̥ a	None	Huitotoan	m oː ɲ̥ a	3312	562	Huber2021	C V C V
788	WitotoMinica	day (opposite of night rather than time measure)	móna	móna	m o n a	None	Huitotoan	m o n a	3312	562	Huber2021	C V C V
1211	WitotoNipode	day (opposite of night rather than time measure)	móna	móna	m o n a	None	Huitotoan	m o n a	3312	562	Huber2021	C V C V
1404	Aguaruna	day (opposite of night rather than time measure)	tsawan	tsawan	ts a w a n	None	Chicham	ts a w a n	3302	553	Johansson2021	C V C V C
4801	Shuar	day (opposite of night rather than time measure)	tsawant	tsawant	ts a w a n.t	None	Chicham	ts a w a n.t	3302	553	Pellizzaro2005	C V C V C
4221	Wampis	day (opposite of night rather than time measure)	tsawan	tsawan	ts a w a n	None	Chicham	ts a w a n	3302	553	Peña2023	C V C V C
2350	Bora	day (opposite of night rather than time measure)	kʰóóhɨɨ́	kʰóóhɨɨ́	kʰ o o h ɨ.ɨ	None	Boran	kʰ o o h ɨ.ɨ	3306	556	Seifart2024	C V V C V
2351	Muinane	day (opposite of night rather than time measure)	kúuhe	kúuhe	k u u h e	None	Boran	k u u h e	3306	556	Seifart2024	C V V C V
2349	Proto-Bora-Muinane	day (opposite of night rather than time measure)	kuuhe	kuuhe	k u u h e	None	Boran	k u u h e	3306	556	Seifart2024	C V V C V
378	Ocaina	dog	hõʔxo	hõʔxo	h o.ʔ x o	None	Huitotoan	h o.ʔ x o	3357	629	Huber2021	C V C V
794	WitotoMinica	dog	hɯ́ko	hɯ́ko	h ɯ k o	None	Huitotoan	h ɯ k o	3357	629	Huber2021	C V C V
1012	WitotoMurui	dog	hɯko	hɯko	h ɯ k o	None	Huitotoan	h ɯ k o	3357	629	Huber2021	C V C V
1216	WitotoNipode	dog	hɯ́ko	hɯ́ko	h ɯ k o	None	Huitotoan	h ɯ k o	3357	629	Huber2021	C V C V
2760	AchuarShiwiar	dog	yãwá̃ã	yãwá̃ã	j a w aː	None	Chicham	j a w aː	3345	616	Fast2008	C V C V
1407	Aguaruna	dog	jawa	jawa	j a w a	None	Chicham	j a w a	3345	616	Johansson2021	C V C V
4103	Wampis	dog	yawaa	yawaa	j a w aː	There is no phonological long wovels in Wampis	Chicham	j a w aː	3345	616	Peña2023	C V C V
3295	Pebas	dog	nemey	nemey	n e m e j	Martius: canis	Peba-Yagua	n e - m e j	3360	631	Martius1867	C V C V C
4253	Yagua	dog	nibi	nibi	n i b i	None	Peba-Yagua	n i - b i -	3360	631	Gonzales2023	C V C V
3821	Yameo	dog	niamĭ́	niamĭ́	n i a m i ∼	Tessmann: Hund	Peba-Yagua	n i a m i ∼	3360	631	Tessmann1930	C V V C V C
882	WitotoMinica	dry (substance)	θaɸérede	θaɸérede	θ a ɸ e + ɾ e + d e	None	Huitotoan	θ a ɸ e + ɾ e + d e	3388	666 1447 1448	Huber2021	C V C V + C V + C V
